file_name,total,antithetical_disputation,apodictic_law,apodictic_prohibition,attributive_praise,beatitude_formula,casuistic_law,confessional_creed,covenant_promise,declarative_assertion,deliberative_rhetoric,dialogic_controversy,divine_oath_formula,doxological_formula,elenctic_questioning,enumerative_list,hymnic_praise,missionary_commission,narrative_chronicle,prophetic_admonition,prophetic_judgment_speech,royal_legitimation_formula,scriptural_warrant,theological_rationale,theophanic_declaration,theophanic_self_presentation,universal_truth_claim,woe_oracle,antithetical_disputation_rate,apodictic_law_rate,apodictic_prohibition_rate,attributive_praise_rate,beatitude_formula_rate,casuistic_law_rate,confessional_creed_rate,covenant_promise_rate,declarative_assertion_rate,deliberative_rhetoric_rate,dialogic_controversy_rate,divine_oath_formula_rate,doxological_formula_rate,elenctic_questioning_rate,enumerative_list_rate,hymnic_praise_rate,missionary_commission_rate,narrative_chronicle_rate,prophetic_admonition_rate,prophetic_judgment_speech_rate,royal_legitimation_formula_rate,scriptural_warrant_rate,theological_rationale_rate,theophanic_declaration_rate,theophanic_self_presentation_rate,universal_truth_claim_rate,woe_oracle_rate
bible_BKR_2S.txt,1057,16,120,2,1,0,7,0,2,26,96,47,1,2,61,16,0,11,465,2,2,60,13,75,8,19,5,0,0.0151,0.1135,0.0019,0.0009,0.0,0.0066,0.0,0.0019,0.0246,0.0908,0.0445,0.0009,0.0019,0.0577,0.0151,0.0,0.0104,0.4399,0.0019,0.0019,0.0568,0.0123,0.071,0.0076,0.018,0.0047,0.0
bible_BKR_2Te.txt,37,1,7,1,0,0,1,1,2,0,5,2,1,0,0,1,0,0,3,1,0,1,0,7,0,2,1,0,0.027,0.1892,0.027,0.0,0.0,0.027,0.027,0.0541,0.0,0.1351,0.0541,0.027,0.0,0.0,0.027,0.0,0.0,0.0811,0.027,0.0,0.027,0.0,0.1892,0.0,0.0541,0.027,0.0
bible_BKR_2Tm.txt,85,7,16,0,2,0,2,1,2,8,9,3,3,0,0,4,0,4,15,0,0,1,0,6,1,1,0,0,0.0824,0.1882,0.0,0.0235,0.0,0.0235,0.0118,0.0235,0.0941,0.1059,0.0353,0.0353,0.0,0.0,0.0471,0.0,0.0471,0.1765,0.0,0.0,0.0118,0.0,0.0706,0.0118,0.0118,0.0,0.0
bible_BKR_3J.txt,20,0,5,0,0,0,2,1,0,4,3,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0.0,0.25,0.0,0.0,0.0,0.1,0.05,0.0,0.2,0.15,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0
bible_BKR_Abd.txt,32,0,6,1,1,0,0,0,0,2,5,2,0,0,3,1,0,1,5,1,0,0,2,1,0,1,0,0,0.0,0.1875,0.0312,0.0312,0.0,0.0,0.0,0.0,0.0625,0.1562,0.0625,0.0,0.0,0.0938,0.0312,0.0,0.0312,0.1562,0.0312,0.0,0.0,0.0625,0.0312,0.0,0.0312,0.0,0.0
bible_BKR_Abk.txt,79,1,7,0,0,0,1,0,1,7,8,2,1,1,9,1,0,1,23,5,2,0,0,3,1,0,2,3,0.0127,0.0886,0.0,0.0,0.0,0.0127,0.0,0.0127,0.0886,0.1013,0.0253,0.0127,0.0127,0.1139,0.0127,0.0,0.0127,0.2911,0.0633,0.0253,0.0,0.0,0.038,0.0127,0.0,0.0253,0.038
bible_BKR_Ag.txt,47,2,10,0,0,0,2,0,1,0,4,7,0,0,3,1,0,0,6,0,0,0,0,5,1,4,1,0,0.0426,0.2128,0.0,0.0,0.0,0.0426,0.0,0.0213,0.0,0.0851,0.1489,0.0,0.0,0.0638,0.0213,0.0,0.0,0.1277,0.0,0.0,0.0,0.0,0.1064,0.0213,0.0851,0.0213,0.0
bible_BKR_Am.txt,176,6,24,1,1,0,4,0,0,11,21,8,1,0,15,2,0,1,36,9,2,4,1,14,4,8,1,2,0.0341,0.1364,0.0057,0.0057,0.0,0.0227,0.0,0.0,0.0625,0.1193,0.0455,0.0057,0.0,0.0852,0.0114,0.0,0.0057,0.2045,0.0511,0.0114,0.0227,0.0057,0.0795,0.0227,0.0455,0.0057,0.0114
bible_BKR_Da.txt,451,11,58,0,5,0,2,0,4,19,50,33,0,1,4,5,2,3,161,6,0,41,7,23,5,6,5,0,0.0244,0.1286,0.0,0.0111,0.0,0.0044,0.0,0.0089,0.0421,0.1109,0.0732,0.0,0.0022,0.0089,0.0111,0.0044,0.0067,0.357,0.0133,0.0,0.0909,0.0155,0.051,0.0111,0.0133,0.0111,0.0
bible_BKR_Dt.txt,976,5,187,3,3,0,24,1,11,74,67,78,14,2,11,19,0,17,200,35,2,13,16,61,18,104,11,0,0.0051,0.1916,0.0031,0.0031,0.0,0.0246,0.001,0.0113,0.0758,0.0686,0.0799,0.0143,0.002,0.0113,0.0195,0.0,0.0174,0.2049,0.0359,0.002,0.0133,0.0164,0.0625,0.0184,0.1066,0.0113,0.0
