illocutionary_force,file_name,count,total,rate,corpus_mean,corpus_std,zscore,rank
commissive,bible_BKR_2J.txt,1,14,0.0714,0.0183,0.0186,2.856,2
commissive,bible_BKR_2K.txt,7,281,0.0249,0.0183,0.0186,0.356,18
commissive,bible_BKR_2Kr.txt,3,1089,0.0028,0.0183,0.0186,-0.832,54
commissive,bible_BKR_2P.txt,3,48,0.0625,0.0183,0.0186,2.378,3
commissive,bible_BKR_2Pa.txt,1,1045,0.001,0.0183,0.0186,-0.929,57
commissive,bible_BKR_2S.txt,3,1057,0.0028,0.0183,0.0186,-0.832,55
commissive,bible_BKR_2Te.txt,3,37,0.0811,0.0183,0.0186,3.378,1
commissive,bible_BKR_2Tm.txt,5,85,0.0588,0.0183,0.0186,2.179,4
commissive,bible_BKR_3J.txt,0,20,0.0,0.0183,0.0186,-0.983,58
commissive,bible_BKR_Abd.txt,0,32,0.0,0.0183,0.0186,-0.983,59
commissive,bible_BKR_Abk.txt,2,79,0.0253,0.0183,0.0186,0.378,17
commissive,bible_BKR_Ag.txt,1,47,0.0213,0.0183,0.0186,0.163,21
commissive,bible_BKR_Am.txt,1,176,0.0057,0.0183,0.0186,-0.676,47
commissive,bible_BKR_Da.txt,4,451,0.0089,0.0183,0.0186,-0.504,40
commissive,bible_BKR_Dt.txt,25,976,0.0256,0.0183,0.0186,0.394,16
commissive,bible_BKR_Ef.txt,4,95,0.0421,0.0183,0.0186,1.281,9
commissive,bible_BKR_Est.txt,0,219,0.0,0.0183,0.0186,-0.983,60
commissive,bible_BKR_Ex.txt,18,1668,0.0108,0.0183,0.0186,-0.402,37
commissive,bible_BKR_Ez.txt,15,1500,0.01,0.0183,0.0186,-0.445,39
commissive,bible_BKR_Ezd.txt,0,257,0.0,0.0183,0.0186,-0.983,61
commissive,bible_BKR_Fm.txt,1,21,0.0476,0.0183,0.0186,1.577,6
commissive,bible_BKR_Fp.txt,2,89,0.0225,0.0183,0.0186,0.227,20
commissive,bible_BKR_Ga.txt,7,167,0.0419,0.0183,0.0186,1.27,10
commissive,bible_BKR_Gn.txt,42,2268,0.0185,0.0183,0.0186,0.012,27
commissive,bible_BKR_Iz.txt,13,1770,0.0073,0.0183,0.0186,-0.59,43
commissive,bible_BKR_J.txt,14,1218,0.0115,0.0183,0.0186,-0.364,35
commissive,bible_BKR_Jb.txt,14,1134,0.0123,0.0183,0.0186,-0.321,33
commissive,bible_BKR_Jk.txt,0,143,0.0,0.0183,0.0186,-0.983,62
commissive,bible_BKR_Jl.txt,0,93,0.0,0.0183,0.0186,-0.983,63
commissive,bible_BKR_Jon.txt,1,67,0.0149,0.0183,0.0186,-0.182,30
commissive,bible_BKR_Joz.txt,4,783,0.0051,0.0183,0.0186,-0.708,48
commissive,bible_BKR_Jr.txt,8,1715,0.0047,0.0183,0.0186,-0.73,50
commissive,bible_BKR_Ju.txt,1,23,0.0435,0.0183,0.0186,1.356,7
commissive,bible_BKR_Kaz.txt,6,297,0.0202,0.0183,0.0186,0.103,23
commissive,bible_BKR_Ko.txt,1,74,0.0135,0.0183,0.0186,-0.257,31
commissive,bible_BKR_L.txt,17,1404,0.0121,0.0183,0.0186,-0.332,34
commissive,bible_BKR_Lv.txt,21,1044,0.0201,0.0183,0.0186,0.098,24
commissive,bible_BKR_Mal.txt,0,100,0.0,0.0183,0.0186,-0.983,64
commissive,bible_BKR_Mi.txt,0,155,0.0,0.0183,0.0186,-0.983,65
commissive,bible_BKR_Mk.txt,4,905,0.0044,0.0183,0.0186,-0.746,51
commissive,bible_BKR_Mt.txt,22,1376,0.016,0.0183,0.0186,-0.122,29
commissive,bible_BKR_Na.txt,0,64,0.0,0.0183,0.0186,-0.983,66
commissive,bible_BKR_Neh.txt,1,427,0.0023,0.0183,0.0186,-0.859,56
commissive,bible_BKR_Nu.txt,29,1488,0.0195,0.0183,0.0186,0.066,26
commissive,bible_BKR_Oz.txt,3,274,0.0109,0.0183,0.0186,-0.397,36
commissive,bible_BKR_Pis.txt,6,163,0.0368,0.0183,0.0186,0.996,11
commissive,bible_BKR_Pl.txt,1,198,0.0051,0.0183,0.0186,-0.708,49
commissive,bible_BKR_Pr.txt,8,940,0.0085,0.0183,0.0186,-0.526,41
commissive,bible_BKR_R.txt,17,516,0.0329,0.0183,0.0186,0.786,12
commissive,bible_BKR_Rt.txt,1,148,0.0068,0.0183,0.0186,-0.617,45
commissive,bible_BKR_Sd.txt,3,888,0.0034,0.0183,0.0186,-0.8,53
commissive,bible_BKR_Sf.txt,2,75,0.0267,0.0183,0.0186,0.453,15
commissive,bible_BKR_Sk.txt,12,1156,0.0104,0.0183,0.0186,-0.423,38
commissive,bible_BKR_Tit.txt,1,37,0.027,0.0183,0.0186,0.469,13
commissive,bible_BKR_Z.txt,24,2813,0.0085,0.0183,0.0186,-0.526,42
commissive,bible_BKR_Za.txt,5,270,0.0185,0.0183,0.0186,0.012,28
commissive,bible_BKR_Zd.txt,16,294,0.0544,0.0183,0.0186,1.942,5
commissive,bible_BKR_Zj.txt,11,532,0.0207,0.0183,0.0186,0.13,22
declarative,bible_BKR_1J.txt,12,150,0.08,0.1256,0.0621,-0.734,52
declarative,bible_BKR_1K.txt,71,559,0.127,0.1256,0.0621,0.023,29
declarative,bible_BKR_1Kr.txt,176,1053,0.1671,0.1256,0.0621,0.669,13
declarative,bible_BKR_1P.txt,17,94,0.1809,0.1256,0.0621,0.891,12
declarative,bible_BKR_1Pa.txt,84,1007,0.0834,0.1256,0.0621,-0.679,51
declarative,bible_BKR_1S.txt,152,1304,0.1166,0.1256,0.0621,-0.144,34
declarative,bible_BKR_1Te.txt,8,82,0.0976,0.1256,0.0621,-0.45,46
declarative,bible_BKR_1Tm.txt,12,101,0.1188,0.1256,0.0621,-0.109,31
declarative,bible_BKR_2J.txt,1,14,0.0714,0.1256,0.0621,-0.872,54
declarative,bible_BKR_2K.txt,30,281,0.1068,0.1256,0.0621,-0.302,42
declarative,bible_BKR_2Kr.txt,177,1089,0.1625,0.1256,0.0621,0.595,16
declarative,bible_BKR_2P.txt,13,48,0.2708,0.1256,0.0621,2.339,3
declarative,bible_BKR_2Pa.txt,209,1045,0.2,0.1256,0.0621,1.199,10
declarative,bible_BKR_2S.txt,142,1057,0.1343,0.1256,0.0621,0.141,26
declarative,bible_BKR_2Te.txt,6,37,0.1622,0.1256,0.0621,0.59,17
declarative,bible_BKR_2Tm.txt,12,85,0.1412,0.1256,0.0621,0.252,25
declarative,bible_BKR_3J.txt,0,20,0.0,0.1256,0.0621,-2.022,65
declarative,bible_BKR_Abd.txt,3,32,0.0938,0.1256,0.0621,-0.511,47
