illocutionary_force,file_name,count,total,rate,corpus_mean,corpus_std,zscore,rank
expressive,bible_BKR_Pl.txt,2,198,0.0101,0.0241,0.0214,-0.655,42
expressive,bible_BKR_Pr.txt,76,940,0.0809,0.0241,0.0214,2.658,1
expressive,bible_BKR_R.txt,20,516,0.0388,0.0241,0.0214,0.688,15
expressive,bible_BKR_Rt.txt,1,148,0.0068,0.0241,0.0214,-0.809,51
expressive,bible_BKR_Sd.txt,0,888,0.0,0.0241,0.0214,-1.127,66
expressive,bible_BKR_Sf.txt,3,75,0.04,0.0241,0.0214,0.744,14
expressive,bible_BKR_Sk.txt,5,1156,0.0043,0.0241,0.0214,-0.926,56
expressive,bible_BKR_Tit.txt,1,37,0.027,0.0241,0.0214,0.136,27
expressive,bible_BKR_Z.txt,188,2813,0.0668,0.0241,0.0214,1.998,6
expressive,bible_BKR_Za.txt,6,270,0.0222,0.0241,0.0214,-0.089,29
expressive,bible_BKR_Zd.txt,6,294,0.0204,0.0241,0.0214,-0.173,32
expressive,bible_BKR_Zj.txt,15,532,0.0282,0.0241,0.0214,0.192,25
unknown,bible_BKR_1J.txt,6,150,0.04,0.0201,0.0221,0.899,8
unknown,bible_BKR_1K.txt,18,559,0.0322,0.0201,0.0221,0.547,15
unknown,bible_BKR_1Kr.txt,2,1053,0.0019,0.0201,0.0221,-0.822,57
unknown,bible_BKR_1P.txt,2,94,0.0213,0.0201,0.0221,0.054,27
unknown,bible_BKR_1Pa.txt,4,1007,0.004,0.0201,0.0221,-0.728,51
unknown,bible_BKR_1S.txt,5,1304,0.0038,0.0201,0.0221,-0.737,53
unknown,bible_BKR_1Te.txt,2,82,0.0244,0.0201,0.0221,0.194,20
unknown,bible_BKR_1Tm.txt,3,101,0.0297,0.0201,0.0221,0.434,16
unknown,bible_BKR_2J.txt,0,14,0.0,0.0201,0.0221,-0.908,60
unknown,bible_BKR_2K.txt,10,281,0.0356,0.0201,0.0221,0.7,10
unknown,bible_BKR_2Kr.txt,5,1089,0.0046,0.0201,0.0221,-0.7,47
unknown,bible_BKR_2P.txt,1,48,0.0208,0.0201,0.0221,0.032,29
unknown,bible_BKR_2Pa.txt,2,1045,0.0019,0.0201,0.0221,-0.822,58
unknown,bible_BKR_2S.txt,2,1057,0.0019,0.0201,0.0221,-0.822,59
unknown,bible_BKR_2Te.txt,1,37,0.027,0.0201,0.0221,0.312,18
unknown,bible_BKR_2Tm.txt,2,85,0.0235,0.0201,0.0221,0.154,24
unknown,bible_BKR_3J.txt,3,20,0.15,0.0201,0.0221,5.87,1
unknown,bible_BKR_Abd.txt,2,32,0.0625,0.0201,0.0221,1.916,2
unknown,bible_BKR_Abk.txt,3,79,0.038,0.0201,0.0221,0.809,9
unknown,bible_BKR_Ag.txt,0,47,0.0,0.0201,0.0221,-0.908,61
unknown,bible_BKR_Am.txt,6,176,0.0341,0.0201,0.0221,0.633,13
unknown,bible_BKR_Da.txt,2,451,0.0044,0.0201,0.0221,-0.709,49
unknown,bible_BKR_Dt.txt,22,976,0.0225,0.0201,0.0221,0.108,26
unknown,bible_BKR_Ef.txt,2,95,0.0211,0.0201,0.0221,0.045,28
unknown,bible_BKR_Est.txt,1,219,0.0046,0.0201,0.0221,-0.7,48
unknown,bible_BKR_Ex.txt,22,1668,0.0132,0.0201,0.0221,-0.312,39
unknown,bible_BKR_Ez.txt,15,1500,0.01,0.0201,0.0221,-0.456,43
unknown,bible_BKR_Ezd.txt,1,257,0.0039,0.0201,0.0221,-0.732,52
unknown,bible_BKR_Fm.txt,0,21,0.0,0.0201,0.0221,-0.908,62
unknown,bible_BKR_Fp.txt,0,89,0.0,0.0201,0.0221,-0.908,63
unknown,bible_BKR_Ga.txt,4,167,0.024,0.0201,0.0221,0.176,21
unknown,bible_BKR_Gn.txt,12,2268,0.0053,0.0201,0.0221,-0.669,46
unknown,bible_BKR_Iz.txt,50,1770,0.0282,0.0201,0.0221,0.366,17
unknown,bible_BKR_J.txt,28,1218,0.023,0.0201,0.0221,0.131,25
unknown,bible_BKR_Jb.txt,49,1134,0.0432,0.0201,0.0221,1.044,6
unknown,bible_BKR_Jk.txt,5,143,0.035,0.0201,0.0221,0.673,12
unknown,bible_BKR_Jl.txt,0,93,0.0,0.0201,0.0221,-0.908,64
unknown,bible_BKR_Jon.txt,0,67,0.0,0.0201,0.0221,-0.908,65
unknown,bible_BKR_Joz.txt,3,783,0.0038,0.0201,0.0221,-0.737,54
unknown,bible_BKR_Jr.txt,41,1715,0.0239,0.0201,0.0221,0.172,22
unknown,bible_BKR_Ju.txt,1,23,0.0435,0.0201,0.0221,1.057,5
unknown,bible_BKR_Kaz.txt,7,297,0.0236,0.0201,0.0221,0.158,23
unknown,bible_BKR_Ko.txt,1,74,0.0135,0.0201,0.0221,-0.298,37
unknown,bible_BKR_L.txt,20,1404,0.0142,0.0201,0.0221,-0.267,35
unknown,bible_BKR_Lv.txt,19,1044,0.0182,0.0201,0.0221,-0.086,31
unknown,bible_BKR_Mal.txt,1,100,0.01,0.0201,0.0221,-0.456,44
unknown,bible_BKR_Mi.txt,2,155,0.0129,0.0201,0.0221,-0.325,40
unknown,bible_BKR_Mk.txt,13,905,0.0144,0.0201,0.0221,-0.258,34
unknown,bible_BKR_Mt.txt,20,1376,0.0145,0.0201,0.0221,-0.253,33
unknown,bible_BKR_Na.txt,3,64,0.0469,0.0201,0.0221,1.211,4
unknown,bible_BKR_Neh.txt,5,427,0.0117,0.0201,0.0221,-0.38,42
unknown,bible_BKR_Nu.txt,9,1488,0.006,0.0201,0.0221,-0.637,45
unknown,bible_BKR_Oz.txt,9,274,0.0328,0.0201,0.0221,0.574,14
unknown,bible_BKR_Pis.txt,2,163,0.0123,0.0201,0.0221,-0.352,41
unknown,bible_BKR_Pl.txt,7,198,0.0354,0.0201,0.0221,0.691,11
unknown,bible_BKR_Pr.txt,40,940,0.0426,0.0201,0.0221,1.017,7
unknown,bible_BKR_R.txt,8,516,0.0155,0.0201,0.0221,-0.208,32
unknown,bible_BKR_Rt.txt,2,148,0.0135,0.0201,0.0221,-0.298,38
unknown,bible_BKR_Sd.txt,2,888,0.0023,0.0201,0.0221,-0.804,56
unknown,bible_BKR_Sf.txt,2,75,0.0267,0.0201,0.0221,0.298,19
unknown,bible_BKR_Sk.txt,5,1156,0.0043,0.0201,0.0221,-0.714,50
unknown,bible_BKR_Tit.txt,0,37,0.0,0.0201,0.0221,-0.908,66
unknown,bible_BKR_Z.txt,148,2813,0.0526,0.0201,0.0221,1.469,3
unknown,bible_BKR_Za.txt,5,270,0.0185,0.0201,0.0221,-0.072,30
unknown,bible_BKR_Zd.txt,4,294,0.0136,0.0201,0.0221,-0.294,36
unknown,bible_BKR_Zj.txt,2,532,0.0038,0.0201,0.0221,-0.737,55
