file_name,total_sentences,rhetorical_density,dominant_strategy,avg_confidence,top3_intentions,commanding_rate,condemning_rate,declaring_rate,ideological_contestation_rate,intervention_rate,justifying_rate,legitimation_rate,mobilizing_rate,narrative_rate,persuading_rate,praising_rate,promising_rate,questioning_rate,record_rate,unclassified_rate,warning_rate,commanding_vs_mean,condemning_vs_mean,declaring_vs_mean,ideological_contestation_vs_mean,intervention_vs_mean,justifying_vs_mean,legitimation_vs_mean,mobilizing_vs_mean,narrative_vs_mean,persuading_vs_mean,praising_vs_mean,promising_vs_mean,questioning_vs_mean,record_vs_mean,unclassified_vs_mean,warning_vs_mean
bible_BKR_Pl.txt,198,0.581,unclassified,0.705,record(0.348) > commanding(0.162) > persuading(0.136),0.1616,0.0051,0.101,0.0,0.0253,0.0657,0.0051,0.0051,0.0354,0.1364,0.0051,0.0051,0.0354,0.3485,0.0354,0.0303,-0.0188,-0.0021,0.0317,-0.0249,-0.0341,-0.0153,-0.0361,-0.0134,0.0017,0.0287,-0.0118,-0.0132,-0.0042,0.0873,0.0153,0.0097
bible_BKR_Pr.txt,940,0.709,unclassified,0.715,record(0.220) > commanding(0.189) > persuading(0.157),0.1894,0.0298,0.0883,0.0213,0.0372,0.0447,0.0064,0.0074,0.0287,0.1574,0.0511,0.0085,0.0266,0.2202,0.0426,0.0404,0.009,0.0226,0.019,-0.0036,-0.0222,-0.0363,-0.0348,-0.0111,-0.005,0.0497,0.0342,-0.0098,-0.013,-0.041,0.0225,0.0198
bible_BKR_R.txt,516,0.845,unclassified,0.749,commanding(0.198) > persuading(0.141) > justifying(0.111),0.1977,0.0136,0.064,0.0756,0.0504,0.1105,0.0194,0.0213,0.0368,0.1415,0.0252,0.0329,0.0698,0.1027,0.0155,0.0233,0.0173,0.0064,-0.0053,0.0507,-0.009,0.0295,-0.0218,0.0028,0.0031,0.0338,0.0083,0.0146,0.0302,-0.1585,-0.0046,0.0027
bible_BKR_Rt.txt,148,0.493,unclassified,0.736,record(0.480) > commanding(0.189) > justifying(0.074),0.1892,0.0,0.0405,0.0203,0.0608,0.0743,0.027,0.0068,0.0135,0.0068,0.0068,0.0068,0.0541,0.4797,0.0135,0.0,0.0088,-0.0072,-0.0288,-0.0046,0.0014,-0.0067,-0.0142,-0.0117,-0.0202,-0.1009,-0.0101,-0.0115,0.0145,0.2185,-0.0066,-0.0206
bible_BKR_Sd.txt,888,0.523,unclassified,0.734,record(0.471) > commanding(0.108) > justifying(0.101),0.1081,0.0,0.0417,0.0045,0.0597,0.1014,0.0439,0.0236,0.0045,0.0878,0.0,0.0034,0.0417,0.4707,0.0023,0.0068,-0.0723,-0.0072,-0.0276,-0.0204,0.0003,0.0204,0.0027,0.0051,-0.0292,-0.0199,-0.0169,-0.0149,0.0021,0.2095,-0.0178,-0.0138
bible_BKR_Sf.txt,75,0.733,appeal_to_scripture,0.719,record(0.227) > declaring(0.160) > commanding(0.120),0.12,0.04,0.16,0.0,0.04,0.12,0.0667,0.0133,0.0133,0.0667,0.0,0.0267,0.0,0.2267,0.0267,0.08,-0.0604,0.0328,0.0907,-0.0249,-0.0194,0.039,0.0255,-0.0052,-0.0204,-0.041,-0.0169,0.0084,-0.0396,-0.0345,0.0066,0.0594
bible_BKR_Sk.txt,1156,0.567,appeal_to_authority,0.73,record(0.426) > commanding(0.132) > justifying(0.096),0.1315,0.0,0.0822,0.0311,0.0571,0.096,0.0242,0.0234,0.0026,0.0666,0.0043,0.0104,0.032,0.4265,0.0043,0.0078,-0.0489,-0.0072,0.0129,0.0062,-0.0023,0.015,-0.017,0.0049,-0.0311,-0.0411,-0.0126,-0.0079,-0.0076,0.1653,-0.0158,-0.0128
bible_BKR_Tit.txt,37,0.784,direct_address,0.748,commanding(0.216) > record(0.189) > intervention(0.162),0.2162,0.0,0.027,0.0541,0.1622,0.1081,0.0541,0.027,0.027,0.0811,0.027,0.027,0.0,0.1892,0.0,0.0,0.0358,-0.0072,-0.0423,0.0292,0.1028,0.0271,0.0129,0.0085,-0.0067,-0.0266,0.0101,0.0087,-0.0396,-0.072,-0.0201,-0.0206
bible_BKR_Z.txt,2813,0.655,unclassified,0.713,record(0.246) > commanding(0.210) > persuading(0.088),0.2097,0.005,0.0732,0.0064,0.0185,0.0771,0.0331,0.011,0.0462,0.0885,0.0619,0.0085,0.0331,0.246,0.0526,0.0292,0.0293,-0.0022,0.0039,-0.0185,-0.0409,-0.0039,-0.0081,-0.0075,0.0125,-0.0192,0.045,-0.0098,-0.0065,-0.0152,0.0325,0.0086
bible_BKR_Za.txt,270,0.711,appeal_to_authority,0.721,record(0.241) > commanding(0.130) > declaring(0.089),0.1296,0.0074,0.0889,0.0222,0.0815,0.0852,0.0815,0.0148,0.0296,0.0889,0.0148,0.0185,0.0519,0.2407,0.0185,0.0259,-0.0508,0.0002,0.0196,-0.0027,0.0221,0.0042,0.0403,-0.0037,-0.0041,-0.0188,-0.0021,0.0002,0.0123,-0.0205,-0.0016,0.0053
bible_BKR_Zd.txt,294,0.81,unclassified,0.744,commanding(0.207) > record(0.170) > justifying(0.133),0.2075,0.0102,0.068,0.0408,0.0578,0.1327,0.051,0.0272,0.0068,0.1054,0.0102,0.0544,0.0272,0.1701,0.0136,0.017,0.0271,0.003,-0.0013,0.0159,-0.0016,0.0517,0.0098,0.0087,-0.0269,-0.0023,-0.0067,0.0361,-0.0124,-0.0911,-0.0065,-0.0036
bible_BKR_Zj.txt,532,0.635,unclassified,0.733,record(0.337) > commanding(0.162) > persuading(0.111),0.1617,0.0075,0.0639,0.0301,0.0357,0.0846,0.0357,0.0188,0.0244,0.1109,0.0207,0.0207,0.0113,0.3365,0.0038,0.0338,-0.0187,0.0003,-0.0054,0.0052,-0.0237,0.0036,-0.0055,0.0003,-0.0093,0.0032,0.0038,0.0024,-0.0283,0.0753,-0.0163,0.0132
