file_name,total_sentences,rhetorical_density,dominant_strategy,avg_confidence,top3_intentions,commanding_rate,condemning_rate,declaring_rate,ideological_contestation_rate,intervention_rate,justifying_rate,legitimation_rate,mobilizing_rate,narrative_rate,persuading_rate,praising_rate,promising_rate,questioning_rate,record_rate,unclassified_rate,warning_rate,commanding_vs_mean,condemning_vs_mean,declaring_vs_mean,ideological_contestation_vs_mean,intervention_vs_mean,justifying_vs_mean,legitimation_vs_mean,mobilizing_vs_mean,narrative_vs_mean,persuading_vs_mean,praising_vs_mean,promising_vs_mean,questioning_vs_mean,record_vs_mean,unclassified_vs_mean,warning_vs_mean
bible_BKR_2S.txt,1057,0.543,unclassified,0.736,record(0.440) > commanding(0.121) > persuading(0.091),0.1211,0.0019,0.036,0.0151,0.0445,0.0833,0.0747,0.0104,0.0151,0.0908,0.0028,0.0028,0.0577,0.4399,0.0019,0.0019,-0.0593,-0.0053,-0.0333,-0.0098,-0.0149,0.0023,0.0335,-0.0081,-0.0186,-0.0169,-0.0141,-0.0155,0.0181,0.1787,-0.0182,-0.0187
bible_BKR_2Te.txt,37,0.865,direct_address,0.742,commanding(0.216) > justifying(0.189) > persuading(0.135),0.2162,0.0,0.027,0.027,0.0541,0.1892,0.0811,0.0,0.027,0.1351,0.027,0.0811,0.0,0.0811,0.027,0.027,0.0358,-0.0072,-0.0423,0.0021,-0.0053,0.1082,0.0399,-0.0185,-0.0067,0.0274,0.0101,0.0628,-0.0396,-0.1801,0.0069,0.0064
bible_BKR_2Tm.txt,85,0.753,unclassified,0.722,commanding(0.212) > record(0.176) > persuading(0.106),0.2118,0.0,0.0824,0.0824,0.0353,0.0706,0.0235,0.0471,0.0471,0.1059,0.0353,0.0588,0.0,0.1765,0.0235,0.0,0.0314,-0.0072,0.0131,0.0575,-0.0241,-0.0104,-0.0177,0.0286,0.0134,-0.0018,0.0184,0.0405,-0.0396,-0.0847,0.0034,-0.0206
bible_BKR_3J.txt,20,0.65,direct_address,0.684,commanding(0.350) > persuading(0.150) > record(0.150),0.35,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.05,0.15,0.05,0.0,0.0,0.15,0.15,0.0,0.1696,-0.0072,0.0307,-0.0249,-0.0594,-0.081,-0.0412,-0.0185,0.0163,0.0423,0.0331,-0.0183,-0.0396,-0.1112,0.1299,-0.0206
bible_BKR_Abd.txt,32,0.75,appeal_to_scripture,0.732,commanding(0.188) > persuading(0.156) > record(0.156),0.1875,0.0,0.0312,0.0,0.0625,0.0938,0.0312,0.0312,0.0312,0.1562,0.0312,0.0,0.0938,0.1562,0.0625,0.0312,0.0071,-0.0072,-0.0381,-0.0249,0.0031,0.0128,-0.01,0.0127,-0.0025,0.0485,0.0143,-0.0183,0.0542,-0.105,0.0424,0.0106
bible_BKR_Abk.txt,79,0.671,unclassified,0.722,record(0.279) > questioning(0.114) > commanding(0.101),0.1013,0.0633,0.1013,0.0127,0.0253,0.038,0.0,0.0127,0.0127,0.1013,0.0127,0.0253,0.1139,0.2785,0.038,0.0633,-0.0791,0.0561,0.032,-0.0122,-0.0341,-0.043,-0.0412,-0.0058,-0.021,-0.0064,-0.0042,0.007,0.0743,0.0173,0.0179,0.0427
bible_BKR_Ag.txt,47,0.851,appeal_to_authority,0.762,commanding(0.255) > intervention(0.149) > record(0.128),0.2553,0.0,0.0426,0.0426,0.1489,0.1064,0.0851,0.0,0.0213,0.0851,0.0,0.0213,0.0638,0.1277,0.0,0.0,0.0749,-0.0072,-0.0267,0.0177,0.0895,0.0254,0.0439,-0.0185,-0.0124,-0.0226,-0.0169,0.003,0.0242,-0.1335,-0.0201,-0.0206
bible_BKR_Am.txt,176,0.75,appeal_to_authority,0.731,record(0.204) > commanding(0.165) > persuading(0.119),0.1648,0.0227,0.0568,0.0341,0.0455,0.0852,0.0682,0.0057,0.0114,0.1193,0.0057,0.0057,0.0852,0.2045,0.0341,0.0511,-0.0156,0.0155,-0.0125,0.0092,-0.0139,0.0042,0.027,-0.0128,-0.0223,0.0116,-0.0112,-0.0126,0.0456,-0.0567,0.014,0.0305
bible_BKR_Da.txt,451,0.627,unclassified,0.727,record(0.357) > commanding(0.131) > persuading(0.111),0.1308,0.0,0.0621,0.0244,0.0732,0.0665,0.1042,0.0067,0.0111,0.1109,0.0177,0.0089,0.0089,0.357,0.0044,0.0133,-0.0496,-0.0072,-0.0072,-0.0005,0.0138,-0.0145,0.063,-0.0118,-0.0226,0.0032,0.0008,-0.0094,-0.0307,0.0958,-0.0157,-0.0073
bible_BKR_Dt.txt,976,0.753,appeal_to_scripture,0.727,commanding(0.209) > record(0.205) > legitimation(0.120),0.209,0.002,0.0932,0.0051,0.0799,0.0789,0.1199,0.0174,0.0195,0.0686,0.0061,0.0256,0.0113,0.2049,0.0225,0.0359,0.0286,-0.0052,0.0239,-0.0198,0.0205,-0.0021,0.0787,-0.0011,-0.0142,-0.0391,-0.0108,0.0073,-0.0283,-0.0563,0.0024,0.0153
bible_BKR_Ef.txt,95,0.905,appeal_to_authority,0.772,commanding(0.337) > persuading(0.147) > justifying(0.084),0.3368,0.0,0.0632,0.0421,0.0526,0.0842,0.0211,0.0421,0.0,0.1474,0.0526,0.0421,0.0,0.0737,0.0211,0.0211,0.1564,-0.0072,-0.0061,0.0172,-0.0068,0.0032,-0.0201,0.0236,-0.0337,0.0397,0.0357,0.0238,-0.0396,-0.1875,0.001,0.0005
bible_BKR_Est.txt,219,0.571,unclassified,0.731,record(0.411) > commanding(0.096) > justifying(0.091),0.0959,0.0,0.0731,0.0137,0.0594,0.0913,0.0731,0.0,0.0137,0.0822,0.0091,0.0,0.0594,0.411,0.0046,0.0137,-0.0845,-0.0072,0.0038,-0.0112,-0.0,0.0103,0.0319,-0.0185,-0.02,-0.0255,-0.0078,-0.0183,0.0198,0.1498,-0.0155,-0.0069
bible_BKR_Ex.txt,1668,0.505,unclassified,0.722,record(0.428) > commanding(0.130) > declaring(0.081),0.1295,0.0006,0.0809,0.003,0.0468,0.0737,0.054,0.0114,0.054,0.0504,0.0126,0.0108,0.0174,0.4281,0.0132,0.0138,-0.0509,-0.0066,0.0116,-0.0219,-0.0126,-0.0073,0.0128,-0.0071,0.0203,-0.0573,-0.0043,-0.0075,-0.0222,0.1669,-0.0069,-0.0068
bible_BKR_Ez.txt,1500,0.639,appeal_to_authority,0.716,record(0.313) > commanding(0.139) > justifying(0.088),0.1387,0.002,0.084,0.0173,0.0667,0.088,0.0807,0.006,0.0373,0.0733,0.0107,0.01,0.028,0.3133,0.01,0.034,-0.0417,-0.0052,0.0147,-0.0076,0.0073,0.007,0.0395,-0.0125,0.0036,-0.0344,-0.0062,-0.0083,-0.0116,0.0521,-0.0101,0.0134
bible_BKR_Ezd.txt,257,0.49,unclassified,0.72,narrative(0.269) > record(0.237) > legitimation(0.175),0.0584,0.0039,0.0272,0.0078,0.0934,0.0739,0.1751,0.0039,0.2685,0.0389,0.0039,0.0,0.0039,0.2374,0.0039,0.0,-0.122,-0.0033,-0.0421,-0.0171,0.034,-0.0071,0.1339,-0.0146,0.2348,-0.0688,-0.013,-0.0183,-0.0357,-0.0238,-0.0162,-0.0206
bible_BKR_Fm.txt,21,0.619,appeal_to_authority,0.725,commanding(0.381) > record(0.286) > persuading(0.143),0.381,0.0,0.0476,0.0,0.0,0.0,0.0,0.0,0.0952,0.1429,0.0,0.0476,0.0,0.2857,0.0,0.0,0.2006,-0.0072,-0.0217,-0.0249,-0.0594,-0.081,-0.0412,-0.0185,0.0615,0.0352,-0.0169,0.0293,-0.0396,0.0245,-0.0201,-0.0206
bible_BKR_Fp.txt,89,0.865,direct_address,0.76,commanding(0.258) > intervention(0.157) > record(0.135),0.2584,0.0,0.0674,0.0562,0.1573,0.0562,0.0,0.0899,0.0,0.1124,0.0449,0.0225,0.0,0.1348,0.0,0.0,0.078,-0.0072,-0.0019,0.0313,0.0979,-0.0248,-0.0412,0.0714,-0.0337,0.0047,0.028,0.0042,-0.0396,-0.1264,-0.0201,-0.0206
bible_BKR_Ga.txt,167,0.754,appeal_to_authority,0.727,commanding(0.198) > record(0.192) > persuading(0.138),0.1976,0.0,0.0479,0.0778,0.0539,0.0778,0.024,0.024,0.0299,0.1377,0.018,0.0419,0.0479,0.1916,0.024,0.006,0.0172,-0.0072,-0.0214,0.0529,-0.0055,-0.0032,-0.0172,0.0055,-0.0038,0.03,0.0011,0.0236,0.0083,-0.0696,0.0039,-0.0146
bible_BKR_Gn.txt,2268,0.446,unclassified,0.728,record(0.517) > commanding(0.118) > justifying(0.083),0.1177,0.0009,0.0573,0.0079,0.0423,0.0825,0.0101,0.0101,0.0317,0.0547,0.004,0.0185,0.0379,0.5168,0.0053,0.0022,-0.0627,-0.0063,-0.012,-0.017,-0.0171,0.0015,-0.0311,-0.0084,-0.002,-0.053,-0.0129,0.0002,-0.0017,0.2556,-0.0148,-0.0184
bible_BKR_Iz.txt,1770,0.726,unclassified,0.729,record(0.222) > commanding(0.152) > persuading(0.134),0.1525,0.0113,0.0751,0.0237,0.0424,0.0847,0.048,0.0215,0.0243,0.1339,0.0243,0.0073,0.0599,0.2215,0.0282,0.0412,-0.0279,0.0041,0.0058,-0.0012,-0.017,0.0037,0.0068,0.003,-0.0094,0.0262,0.0074,-0.011,0.0203,-0.0397,0.0081,0.0206
bible_BKR_J.txt,1218,0.644,unclassified,0.728,record(0.328) > commanding(0.160) > persuading(0.113),0.1601,0.0,0.0558,0.0328,0.1117,0.0722,0.0057,0.0115,0.0041,0.1133,0.0082,0.0115,0.0542,0.3284,0.023,0.0074,-0.0203,-0.0072,-0.0135,0.0079,0.0523,-0.0088,-0.0355,-0.007,-0.0296,0.0056,-0.0087,-0.0068,0.0146,0.0672,0.0029,-0.0132
bible_BKR_Jb.txt,1134,0.711,unclassified,0.722,record(0.237) > questioning(0.169) > persuading(0.164),0.1226,0.0168,0.082,0.0071,0.0291,0.0564,0.0044,0.0132,0.0088,0.164,0.0141,0.0123,0.1693,0.2372,0.0432,0.0194,-0.0578,0.0096,0.0127,-0.0178,-0.0303,-0.0246,-0.0368,-0.0053,-0.0249,0.0563,-0.0028,-0.006,0.1297,-0.024,0.0231,-0.0012
bible_BKR_Jk.txt,143,0.804,direct_address,0.755,commanding(0.273) > persuading(0.168) > record(0.133),0.2727,0.028,0.0559,0.035,0.028,0.0559,0.007,0.021,0.028,0.1678,0.014,0.0,0.0699,0.1329,0.035,0.049,0.0923,0.0208,-0.0134,0.0101,-0.0314,-0.0251,-0.0342,0.0025,-0.0057,0.0601,-0.0029,-0.0183,0.0303,-0.1283,0.0149,0.0284
bible_BKR_Jl.txt,93,0.763,unclassified,0.739,commanding(0.312) > record(0.237) > justifying(0.097),0.3118,0.0215,0.0753,0.0108,0.0215,0.0968,0.086,0.0,0.0,0.0968,0.0,0.0,0.0215,0.2366,0.0,0.0215,0.1314,0.0143,0.006,-0.0141,-0.0379,0.0158,0.0448,-0.0185,-0.0337,-0.0109,-0.0169,-0.0183,-0.0181,-0.0246,-0.0201,0.0009
bible_BKR_Jon.txt,67,0.612,appeal_to_scripture,0.732,record(0.373) > commanding(0.149) > persuading(0.104),0.1493,0.0,0.0896,0.0149,0.0597,0.0746,0.0,0.0299,0.0149,0.1045,0.0,0.0149,0.0597,0.3731,0.0,0.0149,-0.0311,-0.0072,0.0203,-0.01,0.0003,-0.0064,-0.0412,0.0114,-0.0188,-0.0032,-0.0169,-0.0034,0.0201,0.1119,-0.0201,-0.0057
bible_BKR_Joz.txt,783,0.444,unclassified,0.725,record(0.420) > narrative(0.132) > commanding(0.128),0.1277,0.0,0.0345,0.0064,0.0677,0.0702,0.0536,0.0115,0.1315,0.0536,0.0026,0.0051,0.0051,0.4202,0.0038,0.0064,-0.0527,-0.0072,-0.0348,-0.0185,0.0083,-0.0108,0.0124,-0.007,0.0978,-0.0541,-0.0143,-0.0132,-0.0345,0.159,-0.0163,-0.0142
