file_name,total,appeal_to_authority,appeal_to_scripture,appeal_to_tradition,conditional_threat,contrast,direct_address,narrative_example,promise_of_reward,repetition,rhetorical_question,unclassified,appeal_to_authority_rate,appeal_to_scripture_rate,appeal_to_tradition_rate,conditional_threat_rate,contrast_rate,direct_address_rate,narrative_example_rate,promise_of_reward_rate,repetition_rate,rhetorical_question_rate,unclassified_rate
bible_BKR_Fm.txt,21,6,5,0,0,1,6,0,0,1,0,2,0.2857,0.2381,0.0,0.0,0.0476,0.2857,0.0,0.0,0.0476,0.0,0.0952
bible_BKR_Fp.txt,89,20,9,2,5,1,32,1,0,7,1,11,0.2247,0.1011,0.0225,0.0562,0.0112,0.3596,0.0112,0.0,0.0787,0.0112,0.1236
bible_BKR_Ga.txt,167,47,13,15,2,4,36,7,0,13,3,27,0.2814,0.0778,0.0898,0.012,0.024,0.2156,0.0419,0.0,0.0778,0.018,0.1617
bible_BKR_Gn.txt,2268,225,220,133,39,31,362,126,41,158,40,893,0.0992,0.097,0.0586,0.0172,0.0137,0.1596,0.0556,0.0181,0.0697,0.0176,0.3937
bible_BKR_Iz.txt,1770,244,388,17,34,30,294,42,40,127,33,521,0.1379,0.2192,0.0096,0.0192,0.0169,0.1661,0.0237,0.0226,0.0718,0.0186,0.2944
bible_BKR_J.txt,1218,275,106,57,37,31,200,42,19,72,47,332,0.2258,0.087,0.0468,0.0304,0.0255,0.1642,0.0345,0.0156,0.0591,0.0386,0.2726
bible_BKR_Jb.txt,1134,91,156,19,39,52,108,56,17,57,78,461,0.0802,0.1376,0.0168,0.0344,0.0459,0.0952,0.0494,0.015,0.0503,0.0688,0.4065
bible_BKR_Jk.txt,143,13,9,15,4,3,42,7,4,11,3,32,0.0909,0.0629,0.1049,0.028,0.021,0.2937,0.049,0.028,0.0769,0.021,0.2238
bible_BKR_Jl.txt,93,11,23,1,0,1,21,2,1,8,0,25,0.1183,0.2473,0.0108,0.0,0.0108,0.2258,0.0215,0.0108,0.086,0.0,0.2688
bible_BKR_Jon.txt,67,13,18,2,1,2,9,3,1,4,3,11,0.194,0.2687,0.0299,0.0149,0.0299,0.1343,0.0448,0.0149,0.0597,0.0448,0.1642
bible_BKR_Joz.txt,783,85,138,63,22,8,125,22,6,93,3,218,0.1086,0.1762,0.0805,0.0281,0.0102,0.1596,0.0281,0.0077,0.1188,0.0038,0.2784
bible_BKR_Jr.txt,1715,441,310,27,23,20,292,58,14,131,39,360,0.2571,0.1808,0.0157,0.0134,0.0117,0.1703,0.0338,0.0082,0.0764,0.0227,0.2099
bible_BKR_Ju.txt,23,6,6,1,0,2,5,0,0,1,0,2,0.2609,0.2609,0.0435,0.0,0.087,0.2174,0.0,0.0,0.0435,0.0,0.087
bible_BKR_Kaz.txt,297,35,31,2,20,14,20,20,7,46,6,96,0.1178,0.1044,0.0067,0.0673,0.0471,0.0673,0.0673,0.0236,0.1549,0.0202,0.3232
bible_BKR_Ko.txt,74,15,6,6,3,3,26,0,0,4,0,11,0.2027,0.0811,0.0811,0.0405,0.0405,0.3514,0.0,0.0,0.0541,0.0,0.1486
bible_BKR_L.txt,1404,255,159,30,39,24,276,49,39,51,49,433,0.1816,0.1132,0.0214,0.0278,0.0171,0.1966,0.0349,0.0278,0.0363,0.0349,0.3084
bible_BKR_Lv.txt,1044,91,288,33,15,13,110,36,6,120,0,332,0.0872,0.2759,0.0316,0.0144,0.0125,0.1054,0.0345,0.0057,0.1149,0.0,0.318
bible_BKR_Mal.txt,100,34,17,3,3,2,14,1,0,3,4,19,0.34,0.17,0.03,0.03,0.02,0.14,0.01,0.0,0.03,0.04,0.19
bible_BKR_Mi.txt,155,14,42,5,4,4,31,3,1,7,7,37,0.0903,0.271,0.0323,0.0258,0.0258,0.2,0.0194,0.0065,0.0452,0.0452,0.2387
bible_BKR_Mk.txt,905,143,90,16,28,6,121,45,16,44,28,368,0.158,0.0994,0.0177,0.0309,0.0066,0.1337,0.0497,0.0177,0.0486,0.0309,0.4066
bible_BKR_Mt.txt,1376,245,124,36,19,16,246,53,58,83,37,459,0.1781,0.0901,0.0262,0.0138,0.0116,0.1788,0.0385,0.0422,0.0603,0.0269,0.3336
bible_BKR_Na.txt,64,3,21,0,1,0,9,1,1,5,1,22,0.0469,0.3281,0.0,0.0156,0.0,0.1406,0.0156,0.0156,0.0781,0.0156,0.3438
bible_BKR_Neh.txt,427,43,48,14,8,5,94,14,6,47,4,144,0.1007,0.1124,0.0328,0.0187,0.0117,0.2201,0.0328,0.0141,0.1101,0.0094,0.3372
bible_BKR_Nu.txt,1488,133,374,98,18,14,141,51,11,140,8,500,0.0894,0.2513,0.0659,0.0121,0.0094,0.0948,0.0343,0.0074,0.0941,0.0054,0.336
bible_BKR_Oz.txt,274,35,57,3,11,8,47,9,7,18,3,76,0.1277,0.208,0.0109,0.0401,0.0292,0.1715,0.0328,0.0255,0.0657,0.0109,0.2774
bible_BKR_Pis.txt,163,7,37,0,3,1,28,4,0,19,3,61,0.0429,0.227,0.0,0.0184,0.0061,0.1718,0.0245,0.0,0.1166,0.0184,0.3742
bible_BKR_Pl.txt,198,13,40,2,3,8,40,5,4,5,1,77,0.0657,0.202,0.0101,0.0152,0.0404,0.202,0.0253,0.0202,0.0253,0.0051,0.3889
bible_BKR_Pr.txt,940,44,102,18,26,82,121,43,21,66,10,407,0.0468,0.1085,0.0191,0.0277,0.0872,0.1287,0.0457,0.0223,0.0702,0.0106,0.433
bible_BKR_R.txt,516,80,43,30,35,13,103,12,10,50,22,118,0.155,0.0833,0.0581,0.0678,0.0252,0.1996,0.0233,0.0194,0.0969,0.0426,0.2287
bible_BKR_Rt.txt,148,12,13,3,1,2,35,12,1,14,6,49,0.0811,0.0878,0.0203,0.0068,0.0135,0.2365,0.0811,0.0068,0.0946,0.0405,0.3311
bible_BKR_Sd.txt,888,94,127,36,12,11,191,53,5,58,23,278,0.1059,0.143,0.0405,0.0135,0.0124,0.2151,0.0597,0.0056,0.0653,0.0259,0.3131
bible_BKR_Sf.txt,75,10,22,0,1,0,11,4,2,7,0,18,0.1333,0.2933,0.0,0.0133,0.0,0.1467,0.0533,0.0267,0.0933,0.0,0.24
bible_BKR_Sk.txt,1156,376,111,30,19,22,160,48,22,33,19,316,0.3253,0.096,0.026,0.0164,0.019,0.1384,0.0415,0.019,0.0285,0.0164,0.2734
bible_BKR_Tit.txt,37,8,0,3,0,1,12,0,0,3,0,10,0.2162,0.0,0.0811,0.0,0.027,0.3243,0.0,0.0,0.0811,0.0,0.2703
bible_BKR_Z.txt,2813,224,529,53,62,60,503,60,133,134,28,1027,0.0796,0.1881,0.0188,0.022,0.0213,0.1788,0.0213,0.0473,0.0476,0.01,0.3651
bible_BKR_Za.txt,270,80,55,1,2,2,29,11,2,26,10,52,0.2963,0.2037,0.0037,0.0074,0.0074,0.1074,0.0407,0.0074,0.0963,0.037,0.1926
bible_BKR_Zd.txt,294,51,46,19,12,9,37,6,10,31,4,69,0.1735,0.1565,0.0646,0.0408,0.0306,0.1259,0.0204,0.034,0.1054,0.0136,0.2347
bible_BKR_Zj.txt,532,78,92,15,33,14,62,14,14,66,2,142,0.1466,0.1729,0.0282,0.062,0.0263,0.1165,0.0263,0.0263,0.1241,0.0038,0.2669
