file_name,total,commanding,condemning,declaring,ideological_contestation,intervention,justifying,legitimation,mobilizing,narrative,persuading,praising,promising,questioning,record,unclassified,warning,commanding_rate,condemning_rate,declaring_rate,ideological_contestation_rate,intervention_rate,justifying_rate,legitimation_rate,mobilizing_rate,narrative_rate,persuading_rate,praising_rate,promising_rate,questioning_rate,record_rate,unclassified_rate,warning_rate
bible_BKR_Est.txt,219,21,0,16,3,13,20,16,0,3,18,2,0,13,90,1,3,0.0959,0.0,0.0731,0.0137,0.0594,0.0913,0.0731,0.0,0.0137,0.0822,0.0091,0.0,0.0594,0.411,0.0046,0.0137
bible_BKR_Ex.txt,1668,216,1,135,5,78,123,90,19,90,84,21,18,29,714,22,23,0.1295,0.0006,0.0809,0.003,0.0468,0.0737,0.054,0.0114,0.054,0.0504,0.0126,0.0108,0.0174,0.4281,0.0132,0.0138
bible_BKR_Ez.txt,1500,208,3,126,26,100,132,121,9,56,110,16,15,42,470,15,51,0.1387,0.002,0.084,0.0173,0.0667,0.088,0.0807,0.006,0.0373,0.0733,0.0107,0.01,0.028,0.3133,0.01,0.034
bible_BKR_Ezd.txt,257,15,1,7,2,24,19,45,1,69,10,1,0,1,61,1,0,0.0584,0.0039,0.0272,0.0078,0.0934,0.0739,0.1751,0.0039,0.2685,0.0389,0.0039,0.0,0.0039,0.2374,0.0039,0.0
bible_BKR_Fm.txt,21,8,0,1,0,0,0,0,0,2,3,0,1,0,6,0,0,0.381,0.0,0.0476,0.0,0.0,0.0,0.0,0.0,0.0952,0.1429,0.0,0.0476,0.0,0.2857,0.0,0.0
bible_BKR_Fp.txt,89,23,0,6,5,14,5,0,8,0,10,4,2,0,12,0,0,0.2584,0.0,0.0674,0.0562,0.1573,0.0562,0.0,0.0899,0.0,0.1124,0.0449,0.0225,0.0,0.1348,0.0,0.0
bible_BKR_Ga.txt,167,33,0,8,13,9,13,4,4,5,23,3,7,8,32,4,1,0.1976,0.0,0.0479,0.0778,0.0539,0.0778,0.024,0.024,0.0299,0.1377,0.018,0.0419,0.0479,0.1916,0.024,0.006
bible_BKR_Gn.txt,2268,267,2,130,18,96,187,23,23,72,124,9,42,86,1172,12,5,0.1177,0.0009,0.0573,0.0079,0.0423,0.0825,0.0101,0.0101,0.0317,0.0547,0.004,0.0185,0.0379,0.5168,0.0053,0.0022
bible_BKR_Iz.txt,1770,270,20,133,42,75,150,85,38,43,237,43,13,106,392,50,73,0.1525,0.0113,0.0751,0.0237,0.0424,0.0847,0.048,0.0215,0.0243,0.1339,0.0243,0.0073,0.0599,0.2215,0.0282,0.0412
bible_BKR_J.txt,1218,195,0,68,40,136,88,7,14,5,138,10,14,66,400,28,9,0.1601,0.0,0.0558,0.0328,0.1117,0.0722,0.0057,0.0115,0.0041,0.1133,0.0082,0.0115,0.0542,0.3284,0.023,0.0074
bible_BKR_Jb.txt,1134,139,19,93,8,33,64,5,15,10,186,16,14,192,269,49,22,0.1226,0.0168,0.082,0.0071,0.0291,0.0564,0.0044,0.0132,0.0088,0.164,0.0141,0.0123,0.1693,0.2372,0.0432,0.0194
bible_BKR_Jk.txt,143,39,4,8,5,4,8,1,3,4,24,2,0,10,19,5,7,0.2727,0.028,0.0559,0.035,0.028,0.0559,0.007,0.021,0.028,0.1678,0.014,0.0,0.0699,0.1329,0.035,0.049
bible_BKR_Jl.txt,93,29,2,7,1,2,9,8,0,0,9,0,0,2,22,0,2,0.3118,0.0215,0.0753,0.0108,0.0215,0.0968,0.086,0.0,0.0,0.0968,0.0,0.0,0.0215,0.2366,0.0,0.0215
bible_BKR_Jon.txt,67,10,0,6,1,4,5,0,2,1,7,0,1,4,25,0,1,0.1493,0.0,0.0896,0.0149,0.0597,0.0746,0.0,0.0299,0.0149,0.1045,0.0,0.0149,0.0597,0.3731,0.0,0.0149
bible_BKR_Joz.txt,783,100,0,27,5,53,55,42,9,103,42,2,4,4,329,3,5,0.1277,0.0,0.0345,0.0064,0.0677,0.0702,0.0536,0.0115,0.1315,0.0536,0.0026,0.0051,0.0051,0.4202,0.0038,0.0064
bible_BKR_Jr.txt,1715,356,17,130,33,96,157,156,26,26,178,11,8,103,316,41,61,0.2076,0.0099,0.0758,0.0192,0.056,0.0915,0.091,0.0152,0.0152,0.1038,0.0064,0.0047,0.0601,0.1843,0.0239,0.0356
bible_BKR_Ju.txt,23,4,0,4,2,0,2,0,1,0,5,0,1,0,2,1,1,0.1739,0.0,0.1739,0.087,0.0,0.087,0.0,0.0435,0.0,0.2174,0.0,0.0435,0.0,0.087,0.0435,0.0435
bible_BKR_Kaz.txt,297,61,2,25,5,26,24,4,5,9,32,3,6,20,61,7,7,0.2054,0.0067,0.0842,0.0168,0.0875,0.0808,0.0135,0.0168,0.0303,0.1077,0.0101,0.0202,0.0673,0.2054,0.0236,0.0236
bible_BKR_Ko.txt,74,25,1,8,2,11,3,2,3,2,4,4,1,0,6,1,1,0.3378,0.0135,0.1081,0.027,0.1486,0.0405,0.027,0.0405,0.027,0.0541,0.0541,0.0135,0.0,0.0811,0.0135,0.0135
bible_BKR_L.txt,1404,220,12,97,33,155,96,12,21,9,112,15,17,71,494,20,20,0.1567,0.0085,0.0691,0.0235,0.1104,0.0684,0.0085,0.015,0.0064,0.0798,0.0107,0.0121,0.0506,0.3519,0.0142,0.0142
bible_BKR_Lv.txt,1044,222,7,102,1,60,127,75,2,12,49,26,21,2,288,19,31,0.2126,0.0067,0.0977,0.001,0.0575,0.1216,0.0718,0.0019,0.0115,0.0469,0.0249,0.0201,0.0019,0.2759,0.0182,0.0297
bible_BKR_Mal.txt,100,15,2,6,1,16,8,4,0,3,14,2,0,12,13,1,3,0.15,0.02,0.06,0.01,0.16,0.08,0.04,0.0,0.03,0.14,0.02,0.0,0.12,0.13,0.01,0.03
bible_BKR_Mi.txt,155,38,3,6,1,6,14,7,3,3,25,2,0,12,28,2,5,0.2452,0.0194,0.0387,0.0065,0.0387,0.0903,0.0452,0.0194,0.0194,0.1613,0.0129,0.0,0.0774,0.1806,0.0129,0.0323
bible_BKR_Mk.txt,905,139,2,42,18,77,70,3,11,9,78,6,4,57,366,13,10,0.1536,0.0022,0.0464,0.0199,0.0851,0.0773,0.0033,0.0122,0.0099,0.0862,0.0066,0.0044,0.063,0.4044,0.0144,0.011
bible_BKR_Mt.txt,1376,250,12,86,27,123,83,15,31,15,100,11,22,84,472,20,25,0.1817,0.0087,0.0625,0.0196,0.0894,0.0603,0.0109,0.0225,0.0109,0.0727,0.008,0.016,0.061,0.343,0.0145,0.0182
bible_BKR_Na.txt,64,7,1,7,0,2,3,1,0,2,14,0,0,6,14,3,4,0.1094,0.0156,0.1094,0.0,0.0312,0.0469,0.0156,0.0,0.0312,0.2188,0.0,0.0,0.0938,0.2188,0.0469,0.0625
bible_BKR_Neh.txt,427,29,1,12,8,14,57,25,3,69,33,2,1,9,159,5,0,0.0679,0.0023,0.0281,0.0187,0.0328,0.1335,0.0585,0.007,0.1616,0.0773,0.0047,0.0023,0.0211,0.3724,0.0117,0.0
bible_BKR_Nu.txt,1488,199,4,85,6,51,122,72,17,201,64,6,29,31,581,9,11,0.1337,0.0027,0.0571,0.004,0.0343,0.082,0.0484,0.0114,0.1351,0.043,0.004,0.0195,0.0208,0.3905,0.006,0.0074
bible_BKR_Oz.txt,274,42,5,19,1,6,36,12,3,4,45,3,3,4,72,9,10,0.1533,0.0182,0.0693,0.0036,0.0219,0.1314,0.0438,0.0109,0.0146,0.1642,0.0109,0.0109,0.0146,0.2628,0.0328,0.0365
bible_BKR_Pis.txt,163,28,0,3,0,7,8,0,1,5,38,0,6,9,55,2,1,0.1718,0.0,0.0184,0.0,0.0429,0.0491,0.0,0.0061,0.0307,0.2331,0.0,0.0368,0.0552,0.3374,0.0123,0.0061
