file_name,total,dědic,dědic_rate,farizeus,farizeus_rate,kněz,kněz_rate,král,král_rate,království,království_rate,lid,lid_rate,nepřítel,nepřítel_rate,národ,národ_rate,pomazaný,pomazaný_rate,přikázání,přikázání_rate,satan,satan_rate,smlouva,smlouva_rate,soud,soud_rate,spravedlnost,spravedlnost_rate,trůn,trůn_rate,vyvolený,vyvolený_rate,zákon,zákon_rate
bible_BKR_Am.txt,176,0,0.0,0,0.0,1,0.0057,5,0.0284,2,0.0114,7,0.0398,2,0.0114,4,0.0227,0,0.0,0,0.0,0,0.0,1,0.0057,4,0.0227,3,0.017,0,0.0,0,0.0,1,0.0057
bible_BKR_Da.txt,451,0,0.0,0,0.0,0,0.0,170,0.3769,63,0.1397,19,0.0421,1,0.0022,11,0.0244,0,0.0,0,0.0,0,0.0,7,0.0155,5,0.0111,5,0.0111,1,0.0022,0,0.0,4,0.0089
bible_BKR_Dt.txt,976,1,0.001,0,0.0,14,0.0143,26,0.0266,7,0.0072,80,0.082,30,0.0307,62,0.0635,0,0.0,0,0.0,0,0.0,28,0.0287,27,0.0277,9,0.0092,0,0.0,0,0.0,24,0.0246
bible_BKR_Ef.txt,95,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0105,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.0316,0,0.0,0,0.0,1,0.0105
bible_BKR_Est.txt,219,0,0.0,0,0.0,0,0.0,133,0.6073,12,0.0548,10,0.0457,10,0.0457,17,0.0776,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0046,0,0.0,0,0.0,0,0.0,0,0.0
bible_BKR_Ex.txt,1668,0,0.0,0,0.0,9,0.0054,14,0.0084,1,0.0006,165,0.0989,8,0.0048,9,0.0054,0,0.0,0,0.0,0,0.0,13,0.0078,13,0.0078,0,0.0,1,0.0006,0,0.0,5,0.003
bible_BKR_Ez.txt,1500,0,0.0,0,0.0,21,0.014,38,0.0253,5,0.0033,62,0.0413,3,0.002,93,0.062,0,0.0,0,0.0,0,0.0,18,0.012,48,0.032,22,0.0147,3,0.002,0,0.0,7,0.0047
bible_BKR_Ezd.txt,257,0,0.0,0,0.0,31,0.1206,65,0.2529,4,0.0156,31,0.1206,3,0.0117,8,0.0311,0,0.0,0,0.0,0,0.0,1,0.0039,2,0.0078,0,0.0,0,0.0,0,0.0,11,0.0428
bible_BKR_Fm.txt,21,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
bible_BKR_Fp.txt,89,0,0.0,1,0.0112,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0112,1,0.0112,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,0.0449,0,0.0,0,0.0,2,0.0225
