word1,word2,pair_count,pmi,ppmi,pmi2,ppmi2
líbit,vidět,3,9.749,9.749,1.05,1.05
dům,jákobův,3,9.713,9.713,1.014,1.014
ježíš,pán,8,9.672,9.672,2.388,2.388
kristus,tělo,4,9.64,9.64,1.356,1.356
díky,činit,3,9.628,9.628,0.929,0.929
horší,věc,3,9.611,9.611,0.912,0.912
skrz,víra,3,9.601,9.601,0.901,0.901
egyptský,země,3,9.579,9.579,0.88,0.88
soud,vynášet,3,9.579,9.579,0.88,0.88
padnout,země,3,9.579,9.579,0.88,0.88
odpustit,samý,3,9.568,9.568,0.869,0.869
cesta,stezka,4,9.547,9.547,1.263,1.263
člověk,řko,3,9.527,9.527,0.827,0.827
lež,svědek,4,9.524,9.524,1.24,1.24
bydlit,země,4,9.509,9.509,1.224,1.224
odvrátit,živý,3,9.496,9.496,0.797,0.797
nenávidět,nepřítel,12,9.469,9.469,2.769,2.769
město,všecek,5,9.468,9.468,1.506,1.506
obrátit,oko,3,9.442,9.442,0.742,0.742
chléb,oko,3,9.442,9.442,0.742,0.742
bezbožnost,spravedlnost,4,9.442,9.442,1.157,1.157
duch,tělo,3,9.427,9.427,0.728,0.728
bližní,každý,4,9.402,9.402,1.118,1.118
jméno,svatý,3,9.398,9.398,0.699,0.699
bývat,oheň,3,9.398,9.398,0.699,0.699
líbost,mít,4,9.384,9.384,1.1,1.1
pokoj,čas,4,9.357,9.357,1.072,1.072
přijít,volat,3,9.357,9.357,0.657,0.657
slyšet,svatý,3,9.32,9.32,0.621,0.621
jiný,slyšet,3,9.32,9.32,0.621,0.621
den,všecky,3,9.316,9.316,0.617,0.617
vyplénit,země,3,9.316,9.316,0.617,0.617
užitek,země,4,9.316,9.316,1.032,1.032
milosrdenství,nebe,3,9.316,9.316,0.617,0.617
kristus,víra,4,9.299,9.299,1.015,1.015
tělo,živý,3,9.29,9.29,0.59,0.59
jeden,každý,14,9.276,9.276,2.8,2.8
jeden,mistře,3,9.264,9.264,0.564,0.564
voda,všecka,3,9.255,9.255,0.556,0.556
milosrdenství,věk,7,9.249,9.249,1.772,1.772
duch,svatý,3,9.246,9.246,0.547,0.547
bývat,nést,3,9.246,9.246,0.547,0.547
bývat,hříšník,3,9.246,9.246,0.547,0.547
odvrátit,spravedlnost,5,9.233,9.233,1.271,1.271
duch,kristus,4,9.225,9.225,0.941,0.941
kristus,pán,5,9.225,9.225,1.263,1.263
jeden,obětovat,4,9.219,9.219,0.935,0.935
voda,všecek,3,9.201,9.201,0.501,0.501
ucho,věc,3,9.196,9.196,0.497,0.497
užívat,věc,3,9.196,9.196,0.497,0.497
bezbožný,svíce,3,9.188,9.188,0.489,0.489
bezbožný,očekávání,3,9.188,9.188,0.489,0.489
nenávidět,příčina,4,9.173,9.173,0.889,0.889
cesta,odvrátit,5,9.169,9.169,1.207,1.207
osoba,soud,3,9.164,9.164,0.465,0.465
toba,zhřešit,3,9.148,9.148,0.449,0.449
pan,vědět,3,9.148,9.148,0.449,0.449
kristus,umřít,3,9.132,9.132,0.433,0.433
cesta,chodit,6,9.132,9.132,1.433,1.433
cesta,mistře,3,9.132,9.132,0.433,0.433
každý,nést,3,9.124,9.124,0.425,0.425
bývat,strom,3,9.109,9.109,0.41,0.41
mnohý,víra,3,9.086,9.086,0.387,0.387
anděl,slovo,3,9.086,9.086,0.387,0.387
ježíš,víra,4,9.068,9.068,0.784,0.784
kristus,svatý,3,9.045,9.045,0.346,0.346
izraelský,všecek,3,8.994,8.994,0.295,0.295
všeliký,znát,3,8.991,8.991,0.291,0.291
dar,každý,3,8.987,8.987,0.288,0.288
každý,strom,3,8.987,8.987,0.288,0.288
mít,přikázaní,3,8.969,8.969,0.27,0.27
pakle,živý,3,8.949,8.949,0.249,0.249
víra,živý,3,8.949,8.949,0.249,0.249
evangelium,pravda,5,8.931,8.931,0.969,0.969
jonášův,milovat,3,8.931,8.931,0.232,0.232
milovat,šimone,3,8.931,8.931,0.232,0.232
odvrátit,pravost,5,8.911,8.911,0.949,0.949
izrael,všecek,3,8.901,8.901,0.202,0.202
jeden,věčný,4,8.871,8.871,0.587,0.587
bůh,jediný,7,8.867,8.867,1.39,1.39
lidé,všickn,4,8.847,8.847,0.563,0.563
soud,zůstat,3,8.842,8.842,0.143,0.143
ježíš,svatý,3,8.814,8.814,0.114,0.114
ježíš,jít,3,8.814,8.814,0.114,0.114
cesta,onť,3,8.81,8.81,0.111,0.111
dar,jeden,3,8.804,8.804,0.105,0.105
oko,zhřešit,3,8.804,8.804,0.105,0.105
bližní,jeden,3,8.804,8.804,0.105,0.105
boží,vědět,5,8.786,8.786,0.823,0.823
bezbožný,vzdálený,3,8.773,8.773,0.074,0.074
bezbožný,zlostník,3,8.773,8.773,0.074,0.074
bezbožný,ostát,3,8.773,8.773,0.074,0.074
smrt,život,3,8.761,8.761,0.062,0.062
bývat,ovoce,3,8.761,8.761,0.062,0.062
bůh,silný,8,8.738,8.738,1.454,1.454
spravedlnost,živý,6,8.737,8.737,1.038,1.038
přebývat,země,3,8.731,8.731,0.032,0.032
jméno,milosrdenství,4,8.731,8.731,0.447,0.447
přijít,skrz,3,8.719,8.719,0.02,0.02
slovo,sláva,3,8.708,8.708,0.008,0.008
bezbožnost,pravost,3,8.705,8.705,0.005,0.005
přijít,svět,4,8.694,8.694,0.409,0.409
druhý,jeden,5,8.679,8.679,0.716,0.716
kristus,živý,3,8.673,8.673,-0.026,0.0
hřích,mrtvý,3,8.67,8.67,-0.029,0.0
hřích,přestat,3,8.67,8.67,-0.029,0.0
hřích,shlazený,3,8.67,8.67,-0.029,0.0
hřích,zemřít,4,8.67,8.67,0.386,0.386
hřích,milostiv,4,8.67,8.67,0.386,0.386
hřích,zpomenout,3,8.67,8.67,-0.029,0.0
hřích,obětovaný,3,8.67,8.67,-0.029,0.0
hřích,poblouzení,3,8.67,8.67,-0.029,0.0
