word1,word2,pair_count,pmi,ppmi,pmi2,ppmi2
věky,věků,5,12.329,12.329,3.342,3.342
světlo,tma,7,12.309,12.309,3.807,3.807
amen,věky,6,12.303,12.303,3.579,3.579
oběť,páliti,7,12.288,12.288,3.786,3.786
oběť,spokojující,7,12.288,12.288,3.786,3.786
set,tisíc,5,12.231,12.231,3.244,3.244
hospodinovy,tváři,5,12.231,12.231,3.244,3.244
knížatům,všechněm,5,12.177,12.177,3.19,3.19
bláznovství,moudrost,5,12.161,12.161,3.174,3.174
dva,tisíce,5,12.145,12.145,3.158,3.158
oběť,ohnivou,8,12.118,12.118,3.809,3.809
jednoho,každého,7,12.11,12.11,3.608,3.608
obětovati,oběť,15,12.107,12.107,4.705,4.705
mohli,otců,9,12.099,12.099,3.96,3.96
rodiny,všech,13,12.097,12.097,4.489,4.489
kněz,páliti,6,12.037,12.037,3.313,3.313
bratří,milí,5,12.02,12.02,3.033,3.033
jíti,otců,8,12.007,12.007,3.698,3.698
dnů,judského,5,11.987,11.987,3.0,3.0
srdci,svém,12,11.984,11.984,4.26,4.26
jmen,všech,11,11.963,11.963,4.113,4.113
oheň,pošli,6,11.958,11.958,3.234,3.234
mojžíš,služebník,6,11.955,11.955,3.231,3.231
dvadcítiletých,všech,10,11.941,11.941,3.954,3.954
milost,nalezla,5,11.932,11.932,2.945,2.945
sedm,set,5,11.932,11.932,2.945,2.945
jmen,synů,12,11.91,11.91,4.186,4.186
jeden,každý,16,11.89,11.89,4.581,4.581
buď,živ,6,11.887,11.887,3.164,3.164
moudrost,umění,10,11.881,11.881,3.894,3.894
oběť,vůně,6,11.873,11.873,3.149,3.149
výše,všech,11,11.856,11.856,4.007,4.007
všech,čeledech,11,11.856,11.856,4.007,4.007
duše,tuto,5,11.853,11.853,2.866,2.866
synů,čeledech,12,11.803,11.803,4.079,4.079
soudu,spravedlnost,5,11.774,11.774,2.787,2.787
kněz,spokojující,5,11.774,11.774,2.787,2.787
oběť,suché,7,11.773,11.773,3.272,3.272
dvadcítiletých,synů,10,11.762,11.762,3.775,3.775
boji,všech,8,11.745,11.745,3.436,3.436
tyto,věci,5,11.719,11.719,2.732,2.732
počtu,všech,12,11.701,11.701,3.978,3.978
rodiny,synů,11,11.677,11.677,3.828,3.828
synů,výše,11,11.677,11.677,3.828,3.828
kněz,ohnivou,6,11.674,11.674,2.951,2.951
sem,tam,6,11.665,11.665,2.941,2.941
domích,všech,11,11.663,11.663,3.814,3.814
oběť,oltáři,9,11.651,11.651,3.512,3.512
obětoval,oběť,7,11.636,11.636,3.134,3.134
kněz,oltáři,9,11.622,11.622,3.483,3.483
set,tři,5,11.61,11.61,2.623,2.623
domích,synů,12,11.61,11.61,3.886,3.886
kněz,vůně,5,11.581,11.581,2.594,2.594
izraelských,synů,11,11.578,11.578,3.728,3.728
boji,synů,8,11.566,11.566,3.257,3.257
počtu,synů,12,11.522,11.522,3.799,3.799
oběť,olejem,5,11.44,11.44,2.453,2.453
slovo,řkoucí,13,11.347,11.347,3.738,3.738
duch,svatého,8,11.325,11.325,3.016,3.016
dříví,oheň,5,11.308,11.308,2.321,2.321
boží,vůli,6,11.283,11.283,2.559,2.559
svatým,všechněm,5,11.177,11.177,2.19,2.19
