file_name,element,matched_sentences,sentence_count,sentence_density,matched_lemmas,total_lemmas,token_density,role_weighted_score,role_weighted_density,top_words
bible_BKR_Zd.txt,life_death,3,40,0.075,4,658,0.00608,3.6,0.09,smrt:3; život:1
bible_BKR_Zd.txt,monotheism,7,40,0.175,7,658,0.01064,6.7,0.1675,bůh:7
bible_BKR_Zd.txt,moral,1,40,0.025,1,658,0.00152,1.0,0.025,nepravost:1
bible_BKR_Zd.txt,prophetic_speech,0,40,0.0,0,658,0.0,0.0,0.0,
bible_BKR_Zd.txt,ritual_sacrifice,2,40,0.05,2,658,0.00304,2.0,0.05,kněz:2
bible_BKR_Zd.txt,royal_power,1,40,0.025,2,658,0.00304,2.1,0.0525,stolice:1; království:1
bible_BKR_Zd.txt,sacred_space,0,40,0.0,0,658,0.0,0.0,0.0,
bible_BKR_Zd.txt,war_conflict,0,40,0.0,0,658,0.0,0.0,0.0,
bible_BKR_Zd.txt,wisdom,0,40,0.0,0,658,0.0,0.0,0.0,
bible_BKR_Zd.txt,yhwh_elements,0,40,0.0,0,658,0.0,0.0,0.0,
bible_BKR_Zj.txt,christian_elements,3,40,0.075,6,804,0.00746,7.2,0.18,ježíš:3; kristus:3
bible_BKR_Zj.txt,covenant_law,0,40,0.0,0,804,0.0,0.0,0.0,
bible_BKR_Zj.txt,divine,10,40,0.25,15,804,0.01866,17.1,0.4275,duch:4; ježíš:3; kristus:3; bůh:2; milost:1; sláva:1; víra:1
bible_BKR_Zj.txt,divine_hierarchy,0,40,0.0,0,804,0.0,0.0,0.0,
bible_BKR_Zj.txt,eschatology,4,40,0.1,4,804,0.00498,3.9,0.0975,poslední:4
bible_BKR_Zj.txt,genealogy_lineage,2,40,0.05,2,804,0.00249,1.8,0.045,prvorozený:1; pokolení:1
bible_BKR_Zj.txt,kinship,2,40,0.05,2,804,0.00249,2.3,0.0575,bratr:1; syn:1
bible_BKR_Zj.txt,legal,2,40,0.05,2,804,0.00249,2.1,0.0525,svědek:2
bible_BKR_Zj.txt,life_death,5,40,0.125,8,804,0.00995,7.3,0.1825,mrtvý:3; smrt:3; živý:1; život:1
bible_BKR_Zj.txt,monotheism,3,40,0.075,3,804,0.00373,3.1,0.0775,bůh:2; všemohoucí:1
bible_BKR_Zj.txt,moral,0,40,0.0,0,804,0.0,0.0,0.0,
bible_BKR_Zj.txt,prophetic_speech,2,40,0.05,2,804,0.00249,2.3,0.0575,zjevení:1; proroctví:1
bible_BKR_Zj.txt,ritual_sacrifice,1,40,0.025,1,804,0.00124,1.3,0.0325,kněz:1
bible_BKR_Zj.txt,royal_power,4,40,0.1,4,804,0.00498,4.6,0.115,kníže:1; král:1; království:1; stolice:1
bible_BKR_Zj.txt,sacred_space,0,40,0.0,0,804,0.0,0.0,0.0,
bible_BKR_Zj.txt,war_conflict,3,40,0.075,3,804,0.00373,2.8,0.07,meč:3
bible_BKR_Zj.txt,wisdom,0,40,0.0,0,804,0.0,0.0,0.0,
bible_BKR_Zj.txt,yhwh_elements,0,40,0.0,0,804,0.0,0.0,0.0,
