file_name,christian_elements_token_density,christian_elements_sentence_density,covenant_law_token_density,covenant_law_sentence_density,divine_token_density,divine_sentence_density,divine_hierarchy_token_density,divine_hierarchy_sentence_density,eschatology_token_density,eschatology_sentence_density,genealogy_lineage_token_density,genealogy_lineage_sentence_density,kinship_token_density,kinship_sentence_density,legal_token_density,legal_sentence_density,life_death_token_density,life_death_sentence_density,monotheism_token_density,monotheism_sentence_density,moral_token_density,moral_sentence_density,prophetic_speech_token_density,prophetic_speech_sentence_density,ritual_sacrifice_token_density,ritual_sacrifice_sentence_density,royal_power_token_density,royal_power_sentence_density,sacred_space_token_density,sacred_space_sentence_density,war_conflict_token_density,war_conflict_sentence_density,wisdom_token_density,wisdom_sentence_density,yhwh_elements_token_density,yhwh_elements_sentence_density
bible_BKR_Mk.txt,0.02033,0.2,0.0,0.0,0.02403,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.00555,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.00185,0.025,0.0,0.0,0.0,0.0,0.0037,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bible_BKR_Mt.txt,0.01503,0.175,0.0,0.0,0.0217,0.275,0.00501,0.075,0.0,0.0,0.0,0.0,0.00835,0.125,0.0,0.0,0.00167,0.025,0.00334,0.05,0.00167,0.025,0.0,0.0,0.00334,0.05,0.00835,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bible_BKR_Na.txt,0.01439,0.25,0.0,0.0,0.01727,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01727,0.25,0.00288,0.05,0.00144,0.025,0.0,0.0,0.0,0.0,0.00144,0.025,0.00432,0.05,0.0,0.0,0.01439,0.25
bible_BKR_Neh.txt,0.00221,0.05,0.0011,0.025,0.00992,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.00882,0.2,0.0011,0.025,0.0,0.0,0.00992,0.2,0.00441,0.1,0.0,0.0,0.0011,0.025,0.01103,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.00221,0.05
bible_BKR_Nu.txt,0.00348,0.05,0.0,0.0,0.00348,0.05,0.0,0.0,0.0,0.0,0.02783,0.4,0.01913,0.275,0.0,0.0,0.0,0.0,0.00348,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00348,0.05
bible_BKR_Oz.txt,0.01396,0.275,0.0,0.0,0.0203,0.325,0.0,0.0,0.00127,0.025,0.0,0.0,0.00888,0.175,0.00127,0.025,0.0,0.0,0.01904,0.325,0.0,0.0,0.0,0.0,0.00127,0.025,0.00508,0.1,0.0,0.0,0.00254,0.05,0.0,0.0,0.01396,0.275
bible_BKR_Pis.txt,0.0,0.0,0.0,0.0,0.00518,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.00173,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00345,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bible_BKR_Pl.txt,0.01098,0.275,0.001,0.025,0.01098,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.00399,0.1,0.001,0.025,0.001,0.025,0.01098,0.275,0.002,0.05,0.001,0.025,0.00399,0.1,0.00299,0.075,0.002,0.05,0.00499,0.125,0.0,0.0,0.01098,0.275
bible_BKR_Pr.txt,0.00466,0.05,0.0,0.0,0.00699,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.01399,0.125,0.00233,0.025,0.0,0.0,0.00466,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.00233,0.025,0.0,0.0,0.0,0.0,0.02098,0.2,0.00466,0.05
bible_BKR_R.txt,0.02137,0.2,0.0,0.0,0.04122,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.00153,0.025,0.00458,0.075,0.00153,0.025,0.01527,0.25,0.01069,0.15,0.00153,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bible_BKR_Rt.txt,0.00925,0.2,0.0,0.0,0.01387,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.00116,0.025,0.0,0.0,0.00231,0.05,0.01387,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00925,0.2
bible_BKR_Sd.txt,0.00958,0.175,0.0,0.0,0.01231,0.225,0.00274,0.05,0.0,0.0,0.0,0.0,0.00821,0.15,0.0,0.0,0.00137,0.025,0.01094,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00274,0.05,0.0,0.0,0.00958,0.175
bible_BKR_Sf.txt,0.02751,0.5,0.00138,0.025,0.03164,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055,0.075,0.0,0.0,0.03164,0.5,0.00275,0.025,0.0,0.0,0.0055,0.1,0.00138,0.025,0.0,0.0,0.00138,0.025,0.0,0.0,0.02751,0.5
bible_BKR_Sk.txt,0.00588,0.1,0.0,0.0,0.01618,0.2,0.0,0.0,0.00147,0.025,0.0,0.0,0.00147,0.025,0.0,0.0,0.00147,0.025,0.0,0.0,0.00147,0.025,0.0,0.0,0.0,0.0,0.00294,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bible_BKR_Tit.txt,0.00985,0.1,0.0,0.0,0.03448,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00164,0.025,0.00164,0.025,0.01314,0.2,0.00821,0.125,0.00164,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bible_BKR_Z.txt,0.03232,0.4,0.0,0.0,0.0404,0.475,0.0,0.0,0.0,0.0,0.0,0.0,0.00404,0.05,0.00404,0.05,0.0,0.0,0.0404,0.475,0.00808,0.1,0.0,0.0,0.00202,0.025,0.00404,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.03232,0.4
bible_BKR_Za.txt,0.03164,0.575,0.0,0.0,0.03164,0.575,0.00825,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03164,0.575,0.00275,0.05,0.0,0.0,0.00138,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03164,0.575
bible_BKR_Zd.txt,0.00608,0.075,0.0,0.0,0.0228,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.00304,0.025,0.00152,0.025,0.00608,0.075,0.01064,0.175,0.00152,0.025,0.0,0.0,0.00304,0.05,0.00304,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bible_BKR_Zj.txt,0.00746,0.075,0.0,0.0,0.01866,0.25,0.0,0.0,0.00498,0.1,0.00249,0.05,0.00249,0.05,0.00249,0.05,0.00995,0.125,0.00373,0.075,0.0,0.0,0.00249,0.05,0.00124,0.025,0.00498,0.1,0.0,0.0,0.00373,0.075,0.0,0.0,0.0,0.0
