word,top_neighbors
oběť,páliti:12.288; spokojující:12.288; ohnivou:12.118; obětovati:12.107; vůně:11.873; suché:11.773; oltáři:11.651; obětoval:11.636; olejem:11.44; kněz:9.786
tisíc,set:12.231
hospodinovy,tváři:12.231
tváři,hospodinovy:12.231; hospodin:7.303
knížatům,všechněm:12.177
všechněm,knížatům:12.177; svatým:11.177; ježíš:8.38
bláznovství,moudrost:12.161
moudrost,bláznovství:12.161; umění:11.881; boží:8.805; kristus:8.014; bůh:7.462
dva,tisíce:12.145; synů:10.309
jednoho,každého:12.11; den:9.018
každého,jednoho:12.11; domu:9.887
obětovati,oběť:12.107; hospodin:8.385
všech,rodiny:12.097; jmen:11.963; dvadcítiletých:11.941; výše:11.856; čeledech:11.856; boji:11.745; počtu:11.701; domích:11.663; mohli:11.126; otců:11.034
kněz,páliti:12.037; spokojující:11.774; ohnivou:11.674; oltáři:11.622; vůně:11.581; oběť:9.786; lidu:9.224; zástupů:8.967; syn:8.394; král:8.012
bratří,milí:12.02; moji:10.843; ježíš:8.387; pán:8.084
milí,bratří:12.02
dnů,judského:11.987; slovo:9.125; král:9.047; syn:8.452; hospodin:7.817
judského,dnů:11.987; král:10.225; syn:9.385; hospodin:8.165
srdci,svém:11.984
svém,srdci:11.984; všecky:9.11; syn:7.296
mojžíš,služebník:11.955; země:8.904
služebník,mojžíš:11.955; kristus:8.907; bůh:7.677
milost,nalezla:11.932; pokoj:10.932; otec:9.771; ježíš:9.62; milosrdenství:9.3; pán:9.095; kristus:8.978; bůh:8.332; boží:8.091; syn:6.581
nalezla,milost:11.932
sedm,set:11.932
synů,jmen:11.91; čeledech:11.803; dvadcítiletých:11.762; rodiny:11.677; výše:11.677; domích:11.61; izraelských:11.578; boji:11.566; počtu:11.522; mohli:10.947
jeden,každý:11.89
každý,jeden:11.89; bůh:6.981; hospodin:6.537
buď,živ:11.887; věky:10.455; král:8.447; kristus:8.255; pán:7.981; bůh:7.025
živ,buď:11.887; král:9.684
umění,moudrost:11.881
tuto,duše:11.853; hospodin:8.772
soudu,spravedlnost:11.774
spravedlnost,soudu:11.774
suché,oběť:11.773; bůh:8.747
tyto,věci:11.719
věci,tyto:11.719; nic:9.719; všecky:9.346; země:7.346; bůh:6.604; hospodin:5.897
sem,tam:11.665
tam,sem:11.665; hospodin:7.08
obětoval,oběť:11.636; hospodin:8.428
tři,set:11.61; den:9.351
izraelských,synů:11.578
olejem,oběť:11.44
slovo,řkoucí:11.347; slyšte:10.209; měsíce:9.906; počátku:9.861; léta:9.408; dnů:9.125; pravda:8.869; boží:8.38; hospodin:7.965; syn:7.844
duch,svatého:11.325; svatým:10.325; moci:9.325; evangelium:8.946; pán:8.003; kristus:7.692; slovo:7.646; ježíš:6.849; bůh:6.784; syn:6.296
svatého,duch:11.325
dříví,oheň:11.308
boží,vůli:11.283; apoštol:10.631; pavel:9.921; svědectví:9.921; moudrost:8.805; evangelium:8.805; ježíš:8.557; kristus:8.551; nebe:8.506; slovo:8.38
svatým,všechněm:11.177; duch:10.325; ježíš:9.491; kristus:9.463; pán:8.966
vaší,víra:11.084; hospodin:7.525
víra,vaší:11.084; láska:11.051; ježíš:8.928; kristus:8.852; pán:8.288; bůh:7.621
láska,víra:11.051; pán:8.756; ježíš:8.643; kristus:8.545; bůh:7.577
pokoj,milost:10.932; otec:10.503; milosrdenství:10.212; ježíš:9.725; pán:9.616; bůh:8.66; kristus:8.475
domu,královského:10.91; každého:9.887; král:7.947; hospodin:7.718; země:7.167; bůh:7.162
královského,domu:10.91; král:9.984
den,čtvrtého:10.866; jitro:10.866; téhož:10.38; dvadcátého:10.38; měsíce:10.318; večer:10.281; prvního:10.188; noc:10.058; druhého:10.018; léta:9.664
moji,bratří:10.843
dobrý,viděl:10.837; zlý:10.518; bůh:8.162; země:8.03; hospodin:6.58
viděl,dobrý:10.837; bůh:8.059; syn:7.723
