subj,verb,obj,count_total
všickn,poznat,jméno,3
ten,být,den,3
kterýž,dávat,já,3
král,dát,královna,3
kterýž,přicházet,Šalomoun,3
kterýž,přicházet,rok,3
kterýž,rozsadit,město,3
král,složit,Jeruzalém,3
kterýž,růst,údolí,3
kterýž,růst,množství,3
kterýž,ukázat,on,3
jeho,dát,on,3
otec,ztížit,jho,3
kterýž,zrostnout,on,3
kterýž,mluvit,toba,3
já,přidat,břemeno,3
král,uslyšet,ten,3
muž,říci,ten,3
kterýž,přijít,Judstvo,3
slovo,stát,ten,3
an,stát,on,3
pták,jíst,ten,3
lid,plakat,on,3
hospodin,vyplénit,tvář,3
kterýž,přikázat,on,3
syn,činit,on,3
kterýž,být,ležení,3
lid,odpovědět,on,3
mládenec,říci,svůj,3
já,dát,tvůj,3
muž,vytáhnout,Samaří,3
muž,vytáhnout,pokoj,3
muž,vytáhnout,bitva,3
prorok,přijít,král,3
hospodin,dát,ten,3
já,uvést,zlý,3
král,povolat,protož,3
kterýž,mít,pastýř,3
hospodin,mluvit,toba,3
stavitel,zavrhnout,kterýž,3
Adad,kralovat,on,3
syn,bydlit,on,3
Amariáš,zplodit,Achitoba,3
syn,dát,Levít,3
syn,dát,město,3
ten,bydlit,Jeruzalém,3
Ner,zplodit,Jonata,3
Cis,zplodit,Jonata,3
Saule,zplodit,Cisa,3
Saule,zplodit,Jonata,3
Saul,zplodit,Cisa,3
filistinský,sebrat,boj,3
vojsko,ležet,údolí,3
ten,být,bratr,3
David,říci,shromáždění,3
David,říci,den,3
bůh,přikázat,on,3
hospodin,způsobit,ten,3
Onť,ustavit,dům,3
David,porazit,král,3
služebník,mít,kterýž,3
král,obětovat,ten,3
David,kralovat,Izrael,3
Joáb,být,vojsko,3
syn,být,vojsko,3
služebník,přijít,David,3
služebník,přijít,země,3
meč,být,země,3
on,být,já,3
bůh,dát,syn,3
bůh,požehnat,on,3
bohatství,být,ty,3
žádný,být,ty,3
duše,žádat,což,3
což,mluvit,dům,3
každý,utíkat,jeden,3
on,dít,on,3
Brát,být,syn,3
král,být,my,3
já,vyvést,Egypt,3
hospodin,učinit,kterouž,3
hospodin,učinit,oko,3
kterýž,nosit,zbroj,3
hospodin,mít,líbost,3
já,jít,te,3
Saul,porazit,tisíc,3
hospodin,odpovědět,jenž,3
David,říci,služebník,3
muž,být,my,3
bůh,dát,ť,3
bůh,dát,nepřítel,3
král,být,den,3
aj,říci,on,3
hospodin,dát,vojsko,3
kterýž,být,Hebron,3
kterýž,znát,bůh,3
ť,být,věk,3
kterýž,učinit,my,3
jeden,umřít,on,3
jeden,umřít,mrtvý,3
kterýž,umřít,on,3
kterýž,umřít,mrtvý,3
svědectví,vydávat,on,3
kterýž,dát,vy,3
kterýž,dát,srdce,3
spravedlnost,zůstávat,věk,3
já,prosit,vy,3
kterýž,mít,ten,3
pán,dát,kterouž,3
slovo,stát,ústa,3
bůh,být,Izrael,3
kteříž,odpovědět,on,3
protož,poslat,on,3
oheň,sstoupit,nebe,3
pán,poslat,já,3
ten,říci,on,3
hospodin,otevřít,oko,3
hospodin,říci,ten,3
hospodin,mluvit,dům,3
hospodin,mluvit,služebník,3
kterýž,pozůstat,dům,3
já,uvozovat,vy,3
syn,sedět,stolice,3
dcera,vzít,syn,3
jeden,umřít,hřích,3
každý,umřít,hřích,3
syn,kralovat,měsíc,3
král,přitáhnout,den,3
hospodin,vyhnat,kterýž,3
on,činit,kterýž,3
kterýž,hubit,on,3
Sukkot,udělat,muž,3
Sukkot,udělat,Asima,3
Kutští,udělat,muž,3
Kutští,udělat,Asima,3
Nergale,udělat,muž,3
Nergale,udělat,Asima,3
kterýž,přisluhovat,on,3
hospodin,učinit,on,3
syn,činit,den,3
král,přitáhnout,léta,3
Ezechiáš,pobořit,výsost,3
Zdaliž,vysvobodit,ruka,3
kterýž,slyšet,všecka,3
kterýž,sedsat,cherubína,3
horlivost,učinit,ten,3
Ezechiáš,roznemoci,den,3
Ezechiáš,roznemoci,smrt,3
což,být,dům,3
kterýž,naleznout,dům,3
všickn,shromáždit,on,3
Šalomoun,nadělat,jenž,3
král,nadělat,jenž,3
on,zabít,on,3
král,nadělat,dům,3
Sedechiáš,být,jedenmecítma,3
Nabuchodonozor,přitáhnout,vojsko,3
král,přitáhnout,vojsko,3
kterýž,zůstat,město,3
kterýž,být,Masfa,3
kterýž,být,ten,3
vnitř,obložit,zlato,3
kudyž,vcházet,Emat,3
což,učinit,hospodin,3
otec,stížit,jho,3
kterýž,být,pokolení,3
ten,přijít,on,3
ten,sloužit,on,3
ten,sloužit,co,3
ten,sloužit,já,3
hospodin,dát,věk,3
hospodin,ranit,on,3
kterýž,pojmout,se,3
Izrael,být,den,3
ť,naleznout,on,3
kterýž,počínat,se,3
otec,učinit,kterýž,3
syn,dát,on,3
Eden,být,jenž,3
Eden,být,pomoc,3
Eden,být,město,3
kterýž,vyjít,život,3
co,být,srdce,3
což,najít,on,3
král,říci,služebník,3
bůh,dát,všecka,3
kterýž,oznámit,on,3
kterýž,oznámit,ten,3
kterýž,být,Betlý,3
bůh,učinit,tento,3
Síba,odpovědět,král,3
pocestný,přijít,ten,3
pocestný,přijít,člověk,3
já,učinit,ten,3
hospodin,milovat,on,3
všickn,jít,on,3
což,vidět,vy,3
hospodin,mít,skála,3
kterýž,vyvést,já,3
hospodin,odplatit,můj,3
hospodin,učinit,den,3
kterýž,zamilovat,my,3
pán,dát,vy,3
milost,všechnout,vy,3
ten,být,ten,3
kterýž,uvodit,blud,3
kterýž,zbírat,víno,3
ten,přijít,ty,3
hospodin,být,chráma,3
kdož,shromažďovat,se,3
Zorobábeli,posilnout,syn,3
Jozue,posilnout,syn,3
lide,posilnout,syn,3
já,dát,město,3
dům,zůstat,město,3
panovník,ukázat,já,3
poškvrna,být,jenž,3
kterýž,být,království,3
kterýž,zjevovat,věc,3
bůh,dát,toba,3
něco,být,jenž,3
Nabuchodonozor,vynést,kterýž,3
kterýž,bydlit,země,3
on,mluvit,já,3
ť,slušet,my,3
hospodin,dávat,my,3
kterýž,shlédnout,země,3
město,být,údolí,3
on,obdržet,země,3
hospodin,učinit,ť,3
hospodin,dávat,vy,3
já,předkládat,vy,3
hora,hořet,oheň,3
hospodin,dávat,dědictví,3
hospodin,učinit,my,3
kterýž,nenávidět,on,3
ohavnost,být,tvůj,3
otec,sstoupit,Egypt,3
hospodin,dávat,kterýž,3
což,mít,plejtví,3
hospodin,dát,dědictví,3
on,panovat,teba,3
hospodin,vykoupit,ty,3
slavnost,být,den,3
Levíta,přijít,místo,3
což,přikázat,on,3
prvý,mít,nenávist,3
hospodin,dát,tvůj,3
navrátíš,být,on,3
kterýž,dát,otec,3
hospodin,dát,místo,3
hospodin,zavést,ty,3
nepřítel,ssoužit,jenž,3
nepřítel,ssoužit,ty,3
kterýž,sekat,dříví,3
kdo,vstoupit,nebe,3
Mojžíš,přikázat,on,3
věc,přijít,on,3
bůh,být,prostřed,3
bůh,dát,vy,3
co,přihodit,on,3
král,vztáhnout,berla,3
král,přijít,hod,3
kterýž,být,Susan,3
jenž,mít,on,3
kdo,ustanovit,ty,3
kdo,ustanovit,kníže,3
tento,mít,znamení,3
bůh,poslat,já,3
bůh,poslat,vy,3
čarodějník,učinit,čára,3
Mojžíš,volat,hospodin,3
Mojžíš,vztáhnout,ruka,3
což,otvírat,život,3
bůh,navštívit,vy,3
syn,jít,prostředek,3
což,vejít,on,3
hospodin,kralovat,věk,3
kdož,zlořečit,mater,3
pán,být,vina,3
ten,být,vina,3
naplnění,být,on,3
naplnění,být,Hospodin,3
ráno,být,on,3
obět,být,hospodin,3
kdož,dělat,dílo,3
kterýž,být,ucho,3
já,být,ten,3
hospodin,říci,Mojžíš,3
kůže,stkvět,tvář,3
oblak,být,on,3
každý,jít,strana,3
an,mluvit,já,3
abys,zachovat,on,3
spravedlivý,odvrátit,svůj,3
jazyk,přilnout,dásní,3
soud,pohrdnout,můj,3
já,uvést,vy,3
ten,být,život,3
pravost,být,on,3
kterýž,patřit,půlnoc,3
já,vědět,ten,3
kterýž,být,urážka,3
muž,být,on,3
dům,popálit,oheň,3
což,mít,křídlo,3
kupec,kupčit,množství,3
já,přivést,ty,3
přestoupení,být,my,3
žádný,činit,on,3
kdo,přestrašit,on,3
panovník,pravit,tento,3
já,být,toba,3
ten,být,poctivost,3
což,mít,on,3
kterýž,být,muž,3
kněz,obětovat,obět,3
kdo,být,Judstvo,3
kdo,být,Jeruzalém,3
kniha,být,krajina,3
jenž,být,řeka,3
král,dát,kterýž,3
kterýž,obětovat,bůh,3
Kristus,být,tělo,3
písmo,pravit,co,3
síma,být,jenž,3
bůh,stvořit,muž,3
on,dát,já,3
Irád,zplodit,Lámech,3
já,být,den,3
kterýž,hýbat,země,3
syn,učinit,on,3
Abram,být,léta,3
ten,mít,smlouva,3
kterýž,narodit,on,3
syn,říci,on,3
pohostina,být,země,3
Izák,říci,on,3
Jákob,říci,on,3
Dan,nazvat,jméno,3
bůh,dopustit,on,3
kterýž,ukázat,toba,3
Jákob,říci,já,3
otec,milovat,on,3
Kteřížto,odpovědět,on,3
kdo,vyložit,on,3
bůh,učinit,ten,3
slovo,mluvit,on,3
kterýž,být,dome,3
kdo,zbudit,on,3
národ,pohrnout,on,3
ten,mluvit,já,3
já,vzbudit,on,3
pán,říci,já,3
kterýž,ostříhat,on,3
slovo,být,on,3
kterýž,prospět,nic,3
což,mít,přijít,3
více,být,já,3
kterýž,sformovat,on,3
dům,být,národ,3
smlouva,mít,ť,3
kdo,obětovat,obět,3
ten,být,počátek,3
kterýž,sstoupit,nebe,3
kdož,být,země,3
ť,být,země,3
Ježíš,přijít,Galilee,3
zimnice,přestat,on,3
otec,dát,kterýž,3
otec,dát,já,3
já,činit,kterýž,3
otec,poslat,já,3
učedlník,vstoupit,loď,3
já,vyvolit,vy,3
ť,nenávidět,já,3
ten,pravit,co,3
ten,vydávat,svědectví,3
já,být,svět,3
žid,říci,on,3
Dokudž,být,svět,3
kterýž,vídat,on,3
otec,milovat,já,3
ten,být,smrt,3
Šimon,dědět,on,3
ť,přijímat,já,3
jeden,zradit,já,3
já,milovat,vy,3
já,být,Otce,3
já,jít,Otce,3
otec,milovat,vy,3
kdož,nenávidět,já,3
Pilát,dědět,on,3
kterýž,přijít,Ježíš,3
Poďte,říci,on,3
kterýž,dávat,déš,3
kterýž,sstupovat,hrob,3
kdo,dít,on,3
kdo,složit,já,3
kdo,složit,rok,3
slib,být,kochaťe,3
vy,vidět,ten,3
Dokudž,být,čas,3
Dokudž,být,já,3
Všemohoucí,být,čas,3
Všemohoucí,být,já,3
ústa,otvírat,svůj,3
síla,být,co,3
hospodin,mluvit,Jozue,3
muž,přijít,noc,3
muž,přijít,toba,3
muž,přijít,vyšpehování,3
kterýž,přijít,vyšpehování,3
povolav,říci,on,3
zbrojní,jít,on,3
ostatní,jít,on,3
ostatní,jít,Hospodinová,3
kněz,jít,on,3
kněz,jít,Hospodinová,3
Jozue,dát,on,3
patero,být,Egypt,3
patero,být,pomezí,3
patero,být,jenž,3
Léví,dát,dědictví,3
Mojžíš,dát,pokolení,3
jenž,být,západ,3
jenž,být,půlnoc,3
Jeruzalém,být,údolí,3
Jeruzalém,být,západ,3
Jeruzalém,být,konec,3
Jeruzalém,být,půlnoc,3
Kananejský,bydlit,prostřed,3
kterýž,být,Betoron,3
kterýž,být,polední,3
kterýž,zabít,člověk,3
kterýž,ležet,poušť,3
Jozue,říci,lid,3
kterýž,činit,oko,3
já,uvést,on,3
bolest,mít,věčný,3
bolest,mít,smrtelný,3
ráno,mít,věčný,3
ráno,mít,smrtelný,3
kterýž,zplodit,on,3
kterýž,stihat,já,3
on,prorokovat,lež,3
on,prorokovat,jméno,3
tento,být,místo,3
Jeremiáš,říci,ten,3
kterýž,činit,div,3
ten,zniknout,ruka,3
Joakim,spálit,kterouž,3
Jeremiáš,říci,jenž,3
Jeremiáš,sedět,síň,3
muž,učinit,což,3
cos,mluvit,král,3
cos,mluvit,co,3
král,mluvit,král,3
král,mluvit,co,3
kterýž,být,Moábský,3
kterýž,být,kterýž,3
kterýž,stát,prorok,3
člověk,mít,co,3
on,znát,ten,3
kdož,mít,on,3
tento,být,vy,3
slovo,stát,léta,3
Ježíš,jít,obilí,3
kterýž,činit,vy,3
učedlník,jít,on,3
aj,být,dome,3
já,posílat,tvůj,3
jiný,padnout,trn,3
jiný,padnout,země,3
jiný,padnout,dobrý,3
ten,vidět,světlo,3
jeho,ujmout,ruka,3
Jan,vstát,mrtvý,3
vy,pravit,kdo,3
kterýž,okuset,smrt,3
ten,mluvit,on,3
soudce,dát,ty,3
kterýž,bát,bůh,3
ť,vejít,on,3
co,nazývat,já,3
co,nazývat,dobrý,3
vy,učinit,on,3
kterýž,dát,moc,3
pakle,dět,lidé,3
žena,umřít,všechen,3
mnohý,přijít,jméno,3
syn,jít,člověk,3
kterýž,zrazovat,on,3
Petr,rozpomenout,slovo,3
Pilát,otázat,on,3
nic,stát,on,3
tma,stát,země,3
kterýž,přijít,Galilee,3
zápal,být,obět,3
obět,obětovat,hospodin,3
olej,nalet,on,3
kněz,vzít,hřích,3
kněz,pálit,hospodin,3
číz,navrátit,věc,3
číz,navrátit,ten,3
číz,navrátit,cela,3
číz,navrátit,den,3
číz,navrátit,hřích,3
ten,navrátit,věc,3
ten,navrátit,ten,3
ten,navrátit,cela,3
ten,navrátit,den,3
ten,navrátit,hřích,3
obět,přináležet,kněz,3
hospodin,přikázat,hora,3
hospodin,přikázat,syn,3
ten,zpézt,roucha,3
což,plazit,země,3
kněz,pohledit,den,3
což,být,ten,3
Aron,obětovat,on,3
kole,obětovat,hospodin,3
kterýž,obětovat,hospodin,3
kterýž,koupit,on,3
maní,zacházet,já,3
Heródes,uslyšet,ten,3
Ježíš,znát,ten,3
ť,být,vjít,3
otec,odpustit,vy,3
jedny,říci,druhý,3
kdož,setrvat,konec,3
jáť,pravit,vy,3
kdož,pojmout,propuštěný,3
Ježíš,uslyšet,ten,3
všickn,mít,on,3
kdož,přisahat,on,3
král,říci,já,3
bůh,dát,srdce,3
Sádoch,opravovat,on,3
tys,vyslýchat,on,3
Jesua,zplodit,Joiakima,3
Jesua,zplodit,Joiakim,3
Jesua,zplodit,Eliasib,3
Jesua,zplodit,Joiad,3
Eliasib,zplodit,Joiakima,3
Eliasib,zplodit,Joiakim,3
Eliasib,zplodit,Eliasib,3
Eliasib,zplodit,Joiad,3
Mojžíš,vzít,ten,3
Mojžíš,sčetnout,Aron,3
korouhev,jít,houfe,3
Mojžíš,poslat,on,3
příchozí,být,vy,3
slovo,mluvit,ten,3
kterýž,vyjít,země,3
hospodin,odpustit,on,3
vražedlník,umřít,smrt,3
přítel,zabít,vražedlník,3
trápení,přijít,vy,3
cesta,zdát,on,3
jed,být,ret,3
kterýž,být,obřízka,3
kdož,protivit,vrchnost,3
kdož,protivit,zřízení,3
kterýž,protivit,vrchnost,3
kterýž,protivit,zřízení,3
Noémi,říci,on,3
otec,vypravovat,my,3
Samson,říci,on,3
král,být,Izrael,3
bůh,činit,on,3
kterýž,přijmout,slovo,3
kterýž,dělat,on,3
ť,mít,hospoda,3
ť,mít,dům,3
ť,obklíčit,já,3
bolest,obklíčit,já,3
kterýž,hledat,duše,3
kterýž,nenávidět,příčina,3
duše,mít,ty,3
kdo,být,přirození,3
což,být,hospodin,3
kterýž,stát,myrtoví,3
kůň,vycházet,on,3
bílý,vycházet,on,3
strakatý,vycházet,on,3
rada,být,trůn,3
rada,být,on,3
rada,být,oba,3
den,být,čas,3
mít,být,ten,3
což,být,počátek,2
což,být,otcem,2
ť,znát,ten,2
pravda,být,on,2
kdož,nenávidět,bratr,2
kterýž,být,počátek,2
ť,trvat,věk,2
svět,znát,my,2
svět,znát,jeho,2
každý,činit,zákon,2
kdož,činit,zákon,2
ť,činit,hřích,2
ť,činit,zákon,2
kdož,narodit,bůh,2
srdce,potupovat,my,2
duch,být,bůh,2
ť,být,svět,2
ť,poslouchat,my,2
každý,narodit,bůh,2
on,milovat,my,2
kdož,přebývat,láska,2
kdož,přebývat,bůh,2
každý,milovat,ten,2
kdož,milovat,ten,2
ť,milovat,ten,2
kdož,věřit,syn,2
kdož,mít,život,2
kterýž,být,Korint,2
kterýž,utvrdit,vy,2
svět,poznat,moudrost,2
vy,být,on,2
kterýž,být,člověk,2
kdo,poznat,mysl,2
duch,přebývat,vy,2
kterýž,lapat,moudrý,2
kterýž,lapat,chytrost,2
my,kralovat,vy,2
všecko,slušet,já,2
všecek,slušet,já,2
hřích,hřášet,tělo,2
ten,hřášet,tělo,2
jeden,onát,manželka,2
jeden,onát,muž,2
bůh,povolat,my,2
kdo,mít,žena,2
Kristus,umřít,kteréhož,2
kterýž,soudit,já,2
kdo,jíst,stádo,2
naděje,mít,naděje,2
ten,dát,já,2
ten,běžet,závod,2
kterýž,běžet,závod,2
všickn,běžet,závod,2
Anobrž,obětovat,což,2
Anobrž,obětovat,ďáblo,2
pohaný,obětovat,což,2
pohaný,obětovat,ďáblo,2
nic,vyptávat,svědomí,2
já,činit,což,2
oko,být,tělo,2
oud,trpět,co,2
oud,trpět,on,2
všickn,trpět,co,2
všickn,trpět,on,2
nic,prospívat,já,2
ten,prospívat,já,2
naděje,čekat,všechen,2
ten,mluvit,jazyk,2
ten,mluvit,lidé,2
kdož,mluvit,lidé,2
ten,vzdělávat,se,2
církev,vzdělávat,se,2
všickn,mluvit,jazyk,2
bůh,být,vy,2
kterýž,poddat,on,2
ten,činit,co,2
bůh,dávat,on,2
aj,pravit,vy,2
porušitelný,obléci,smrtelný,2
neporušitelnost,obléci,smrtelný,2
nesmrtelnost,obléci,smrtelný,2
ť,jít,já,2
otevřína,být,já,2
dvéřa,být,já,2
vespolek,pozdravit,se,2
vespolek,pozdravit,políbení,2
kterýž,být,král,2
král,poznat,on,2
kterýž,běhat,on,2
David,vědět,nic,2
Betsabé,vejít,král,2
on,sedět,můj,2
ten,vědět,ten,2
král,usnout,otec,2
kdo,sedět,stolice,2
král,přisáhnout,toba,2
král,přisáhnout,Izraelský,2
kterýž,vysvobodit,duše,2
Sádoch,pomazat,on,2
lid,vstoupit,on,2
Adoniáš,slýt,což,2
Adoniáš,slýt,zvuk,2
Joáb,slýt,což,2
Joáb,slýt,zvuk,2
král,poslat,kněz,2
vlas,spadnout,země,2
Joáb,učinit,co,2
Joáb,učinit,já,2
Joáb,učinit,hejtman,2
syn,učinit,hejtman,2
kterýž,mít,bedra,2
kterýž,mít,kterouž,2
David,usnout,otec,2
David,kralovat,jenž,2
král,říci,kněz,2
otec,snášet,všecka,2
otec,snášet,ssoužení,2
otec,snášet,kterýž,2
Joáb,utéci,stánek,2
král,říci,ten,2
Sádocha,ustanovit,syn,2
Sádocha,ustanovit,on,2
Sádocha,ustanovit,vojsko,2
Sádocha,ustanovit,kněz,2
Sádocha,ustanovit,Abiatar,2
král,přikázat,syn,2
lid,obětovat,výsost,2
tvůj,být,prostřed,2
žádný,být,my,2
žádný,být,dům,2
žena,mluvit,král,2
kterýž,být,Galád,2
kterýž,být,Bázan,2
písko,být,břeh,2
Šalomoun,poslat,Chíram,2
hospodin,mluvit,David,2
služebník,být,služebník,2
kterýž,dát,syn,2
kterýž,dát,lidé,2
Chíram,poslat,Šalomoun,2
Chíram,poslat,řko,2
Chíram,poslat,oč,2
Chíram,poslat,já,2
hospodin,dát,moudrost,2
kterýž,tesat,hora,2
kterýž,být,dílo,2
Šalomoun,obložit,příbytek,2
Šalomoun,obložit,kterouž,2
kterýž,být,svatyně,2
loket,být,konec,2
dvéřa,být,dříví,2
což,přináležet,on,2
Šalomoun,stavět,dům,2
okolek,mít,loket,2
makovice,zvýšit,loket,2
makovice,zvýšit,makovice,2
loket,zvýšit,loket,2
loket,zvýšit,makovice,2
tři,patřit,západ,2
moře,stát,on,2
jakýž,bývat,koflík,2
pět,postavit,podstavek,2
pět,postavit,pět,2
pět,postavit,východ,2
moře,postavit,podstavek,2
moře,postavit,pět,2
moře,postavit,východ,2
kterýž,dělat,král,2
kterýž,dělat,dům,2
řada,být,vrch,2
kterýž,být,mřežování,2
Šalomoun,vnést,věc,2
složiv,být,poklad,2
kněz,přenést,ten,2
kterýž,sejít,on,2
král,obětovat,ovce,2
kněz,vnést,truhlo,2
cherubínový,mít,křídlo,2
nic,být,truhle,2
nic,být,tabule,2
Mojžíš,složit,kterýž,2
Mojžíš,složit,Orébě,2
oblak,naplnit,dům,2
kterýž,mluvit,ústa,2
otec,uložit,ty,2
otec,uložit,jméno,2
stavěď,uložit,ty,2
stavěď,uložit,jméno,2
dům,uložit,srdce,2
dům,uložit,jméno,2
hospodin,říci,otec,2
kterýž,vyjít,bedr,2
on,vystavit,dům,2
on,vystavit,jméno,2
hospodin,splnit,slovo,2
kterýž,ostříhat,služebník,2
bůh,bydlit,pravda,2
aj,obsahovat,ty,2
popatnout,slýt,volání,2
služebník,modlit,kterouž,2
služebník,modlit,teba,2
služebník,modlívat,kterouž,2
služebník,modlívat,místo,2
člověk,zhřešit,bližní,2
přísaha,přijít,dům,2
obrátík,vyznávat,jméno,2
modléka,prosit,ty,2
modléka,prosit,dům,2
modléka,vyznávat,místo,2
modléka,vyznávat,jméno,2
nepřítel,ssoužit,on,2
jatý,vést,on,2
ten,vést,on,2
Šalomoun,obětovat,obět,2
Šalomoun,obětovat,kterouž,2
Šalomoun,obětovat,hospodin,2
Šalomoun,držet,slavnost,2
lid,propustit,den,2
hospodin,ukázat,Gabaon,2
hospodin,uvést,věc,2
Šalomoun,darovat,on,2
Šalomoun,mít,jenž,2
Šalomoun,mít,sklad,2
kterýž,pozůstat,země,2
Šalomoun,uvést,plat,2
Šalomoun,podrobit,služba,2
což,mít,srdce,2
Jížto,odpovědět,všecka,2
Jížto,odpovědět,slovo,2
Šalomoun,odpovědět,všecka,2
Šalomoun,odpovědět,slovo,2
my,odpovědět,on,2
kterýž,oblíbit,ty,2
kterýž,oblíbit,se,2
soud,činit,abys,2
král,nadělat,dříví,2
král,dát,vedlo,2
Šalomoun,dát,královna,2
Šalomoun,dát,vedlo,2
kterýž,přicházet,kupec,2
centnéř,přicházet,Šalomoun,2
centnéř,přicházet,rok,2
centnéř,přicházet,kupec,2
co,přicházet,Šalomoun,2
co,přicházet,rok,2
co,přicházet,kupec,2
král,nadělat,sto,2
král,složit,on,2
král,udělat,stolice,2
nic,být,stříbro,2
bůh,složit,kterouž,2
bůh,složit,srdce,2
kupec,brávat,koupě,2
on,dodávat,král,2
král,zamilovat,žena,2
on,směšovat,on,2
on,směšovat,vy,2
kterýž,být,Jeruzalý,2
kteříž,přijít,Fáran,2
kteříž,přijít,Egypt,2
kteříž,přijít,Faraon,2
kterýž,dát,dům,2
kterýž,dát,země,2
což,dostávat,já,2
protož,ustanovit,on,2
jeho,dát,toba,2
jeho,dát,desatero,2
jeho,dát,syn,2
jeho,dát,pokolení,2
což,přikázat,toba,2
Šalomoun,kralovat,Jeruzalém,2
Šalomoun,kralovat,Izrael,2
Šalomoun,usnout,otec,2
Roboa,kralovat,on,2
kámží,utéci,král,2
král,radit,stařec,2
kterýž,stávat,Šalomoun,2
kterýž,stávat,otec,2
kterýž,stávat,život,2
povolný,být,lid,2
povolný,být,tento,2
on,opustit,rada,2
vy,radit,co,2
ten,polehnout,my,2
já,bič,uzlovatý,2
Jeroboa,přijít,den,2
lid,přijít,den,2
rada,mluvit,on,2
Izrael,všeckat,vida,2
král,oslyšet,on,2
lid,odpovědět,král,2
lid,odpovědět,slovo,2
Jakýž,mít,díl,2
Izai,mít,dědictví,2
Izai,mít,syn,2
Roboa,kralovat,syn,2
syn,odstoupit,dům,2
syn,odstoupit,den,2
Roboa,přijet,Jeruzalém,2
věc,stát,já,2
Efraim,vystavět,Jeroboa,2
Efraim,vystavět,hora,2
Fanuel,vystavět,Jeroboa,2
Fanuel,vystavět,hora,2
kterýž,mluvit,král,2
řeč,stát,já,2
lev,trefit,on,2
ten,dát,on,2
hospodin,vyvolit,pokolení,2
kterýž,vyplénit,tvář,2
Sesák,vytáhnout,Jeruzalý,2
král,vytáhnout,Jeruzalý,2
kterýž,ostříhat,braný,2
kterýž,ostříhat,dům,2
král,chodívat,dům,2
Roboa,usnout,otec,2
hospodin,dát,David,2
Aza,kralovat,on,2
otec,nadělat,kterýž,2
Aza,podťat,modlo,2
kterýž,posvětit,dům,2
Báza,vytáhnout,Juda,2
kterýž,bydlit,damašek,2
smlouva,být,já,2
Báza,stavět,jenž,2
Aza,usnout,otec,2
Jozafat,kralovat,on,2
lid,přivodit,jenž,2
lid,přivodit,hřešení,2
Báza,kralovat,léta,2
syn,kralovat,Tersa,2
syn,kralovat,léto,2
léta,kralovat,Tersa,2
Amri,kralovat,léta,2
déšť,být,země,2
Jezábel,mordovat,prorok,2
žeť,být,národ,2
ty,být,národ,2
služebník,bát,Hospodina,2
řeč,stát,jenž,2
Vyslyš,vyslýt,já,2
boh,učinit,já,2
syn,opustit,smlouva,2
oltář,zbořit,tvůj,2
Jéh,pomazat,král,2
Jéh,pomazat,prorok,2
Jéh,pomazat,se,2
žena,dát,já,2
všickn,říci,on,2
ten,přijít,král,2
muž,přijít,ten,2
on,ležet,den,2
město,zdělat,se,2
muž,říci,svůj,2
ten,být,podlé,2
já,uvést,ty,2
král,shromáždit,sto,2
já,návidět,on,2
král,sedět,ten,2
všickn,prorokovat,on,2
prorok,prorokovat,on,2
Sedechiáš,udělat,se,2
Sedechiáš,udělat,roh,2
syn,udělat,se,2
syn,udělat,roh,2
posel,mluvit,ten,2
posel,mluvit,on,2
tento,mít,pán,2
kdo,oklamat,Achab,2
já,říci,on,2
já,říci,oklama,2
hospodin,říci,způsob,2
hospodin,dát,ústa,2
ješto,mluvit,zlý,2
ješto,mluvit,toba,2
hospodin,mluvit,zlý,2
dokudž,navrátit,pokoj,2
král,táhnout,Rámot,2
ten,oblecnout,roucho,2
král,přikázat,hejtman,2
syrský,přikázat,hejtman,2
muž,střelit,lučiště,2
bitva,rozmohnout,den,2
král,stát,vůz,2
Ochoziáš,kralovat,on,2
kterýž,pozůstat,den,2
Jozafat,usnout,otec,2
Joram,kralovat,on,2
slovo,zůstávat,věk,2
kterýž,mít,bůh,2
kterýž,být,žalář,2
Kristus,trpět,my,2
kdož,trpět,my,2
ten,budit,vy,2
oheň,budit,vy,2
kterýž,povolat,my,2
kterýž,povolat,sláva,2
církev,pozdravovat,vy,2
jedny,pozdravtvout,políbení,2
Mizraim,zplodit,Ludim,2
Kanán,zplodit,Sidona,2
syn,narodit,Heber,2
Jektan,zplodit,Elmodad,2
kterýž,kralovat,země,2
kterýž,porazit,Madianská,2
kterýž,porazit,krajina,2
Bálanan,kralovat,on,2
Aminadab,zplodit,ram,2
Aminadab,zplodit,Aminadab,2
Názon,zplodit,Bóza,2
Salmon,zplodit,Salmon,2
Bóz,zplodit,Izai,2
Obéd,zplodit,Obéda,2
Obéd,zplodit,Izai,2
Hur,zplodit,Bezeleele,2
manželka,porodit,on,2
Attai,zplodit,Nátana,2
Attai,zplodit,Zabada,2
Nátan,zplodit,Nátana,2
Nátan,zplodit,Zabada,2
Zabad,zplodit,Obéda,2
Eflala,zplodit,Obéda,2
Eflal,zplodit,Obéda,2
Obéd,zplodit,Jéh,2
Obéd,zplodit,Azariáš,2
Jéh,zplodit,Jéh,2
Jéh,zplodit,Azariáš,2
Azariáš,zplodit,Cheleza,2
Azariáš,zplodit,Elas,2
Chelez,zplodit,Cheleza,2
Chelez,zplodit,Elas,2
Elasa,zplodit,Sismaie,2
Elasa,zplodit,Salluma,2
Sismai,zplodit,Sismaie,2
Sismai,zplodit,Salluma,2
Sallum,zplodit,Jekamiáš,2
Sallum,zplodit,Elisama,2
