subj,verb,obj,count_total
kterýž,být,oblíčej,7
kterýž,být,poledne,7
kterýž,být,příhradek,7
jenž,být,Jeruzalém,7
kterýž,vzkřísit,mrtvý,7
kterýž,ssužovat,on,7
já,činit,ten,7
kterýž,slyšet,ten,7
kterýž,vydávat,svědectví,7
ť,činit,ten,7
Pilát,říci,on,7
Mojžíš,přikázat,vy,7
Mojžíš,dát,kterýž,7
kterýž,být,Anatot,7
on,prorokovat,vy,7
kterýž,mít,ďábelství,7
pán,říci,on,7
kterýž,být,oběť,7
země,vydat,úrod,7
Sádoch,opravovat,ten,7
ten,přijít,vy,7
duch,pravit,co,7
duch,pravit,církev,7
kterýž,přebývat,země,7
kterýž,být,svět,6
což,být,svět,6
kterýž,jít,on,6
kterýž,být,jeho,6
kterýž,mít,noha,6
třidcet,kralovat,Hebron,6
tento,učinit,já,6
sláva,naplnit,dům,6
což,mluvit,on,6
což,líbit,já,6
syn,kralovat,Izrael,6
kterýž,odpovědět,on,6
kterýž,mít,syn,6
kterýž,být,Gabaon,6
což,vidět,on,6
oltář,vzdělat,hospodin,6
což,být,nebe,6
duch,sstoupit,on,6
hospodin,poslat,ty,6
ten,líbit,on,6
kteřýžkoli,být,ssoužení,6
kteřýžkoli,být,hořkost,6
žena,říci,on,6
kdo,pohrdat,ten,6
jeden,umřít,všecka,6
kterýž,umřít,všecka,6
kterýž,poslat,vy,6
Elizeus,říci,on,6
kterýž,být,Izrael,6
hospodin,ukázat,já,6
ten,činit,kterýž,6
kterýž,vyvést,on,6
muž,udělat,muž,6
muž,udělat,Asima,6
král,poslat,král,6
jenž,být,údolí,6
kterýž,učinit,on,6
kterýž,vytrhnout,ruka,6
hospodin,dát,všecka,6
pocestný,přijít,on,6
kterýž,přijít,ten,6
kterýž,přijít,člověk,6
hospodin,vysvobodit,on,6
hospodin,pravit,místo,6
hospodin,pravit,den,6
kterýž,být,krajina,6
Mojžíš,mluvit,syn,6
kterýž,bydlet,Seir,6
hospodin,přikázat,toba,6
hospodin,mluvit,hora,6
kterýž,milovat,já,6
hospodin,vyvést,ruka,6
já,dávat,kterouž,6
hospodin,přikázat,vy,6
hospodin,zaslíbit,kterouž,6
hospodin,zaslíbit,otec,6
voda,být,jenž,6
hospodin,vyvolit,jméno,6
pohostina,být,jenž,6
já,pojít,ty,6
kterýž,být,moře,6
kterýž,říci,já,6
ruka,být,já,6
panovník,pravit,příčina,6
kterýž,sstupovat,jáma,6
kterýž,jít,já,6
kterýž,hledat,on,6
kterýž,mít,více,6
bůh,stvořit,obraz,6
bůh,stvořit,on,6
Maviael,zplodit,Lámech,6
Matuzael,zplodit,Lámech,6
kterýž,plazit,země,6
anděl,říci,on,6
kterýž,přijít,noc,6
já,učinit,kterýž,6
bůh,dát,kterýž,6
kterýž,být,Mamre,6
žádný,být,on,6
lysina,být,hlava,6
mnohý,uvěřit,on,6
Mojžíš,dát,vy,6
co,zdát,vy,6
kterýž,bét,jméno,6
ť,ztratit,on,6
kdo,přijímat,já,6
já,poslat,on,6
Dokudž,být,den,6
Všemohoucí,být,den,6
kdož,milovat,on,6
kterýž,bydlit,moře,6
Mojžíš,dát,Jordán,6
kterýž,být,západ,6
cos,mluvit,teba,6
král,mluvit,teba,6
král,zmordovat,syn,6
král,zmordovat,oko,6
kterýž,být,Laodicie,6
ledvinka,být,jatra,6
řád,být,oběť,6
kterýž,obětovat,obět,6
kněz,pohledit,rána,6
pohostina,být,vy,6
krev,být,on,6
země,vydat,ovoce,6
učedlník,přistoupit,on,6
ten,poškvrňovat,člověk,6
Meremot,opravovat,ten,6
Mesullam,opravovat,ten,6
kdo,činit,dobrý,6
prvý,přijít,vy,6
prchlivost,přijít,vy,6
den,přijít,vy,6
duše,mít,hospodin,6
kůň,vycházet,země,6
bílý,vycházet,země,6
strakatý,vycházet,země,6
anděl,vylit,koflík,6
přikázaný,ostříhat,jeho,5
ť,prosit,vy,5
kdož,mluvit,jazyk,5
jeden,mít,píseň,5
jeden,mít,učení,5
jeden,mít,zjevení,5
jeden,mít,vykládání,5
každý,mít,píseň,5
každý,mít,učení,5
každý,mít,zjevení,5
každý,mít,vykládání,5
jazyk,mít,píseň,5
jazyk,mít,učení,5
jazyk,mít,zjevení,5
jazyk,mít,vykládání,5
kterýž,dát,my,5
král,ustanovit,syn,5
kterýž,sedět,stolice,5
kterýž,být,Libán,5
kterýž,mluvit,služebník,5
ten,vyslýchát,místo,5
obrátík,modlit,země,5
hospodin,učinit,země,5
což,líbit,hospodin,5
kterýž,bydlit,město,5
hospodin,přikázat,já,5
já,uvést,věc,5
což,být,Hospodin,5
což,být,oblíčej,5
Eliáš,říci,on,5
hospodin,dát,země,5
slovo,stát,den,5
Achab,jít,cesta,5
ten,jít,ten,5
kterýž,poslat,on,5
kterýž,povolat,vy,5
kterýž,být,Babylon,5
Aminadab,zplodit,Názon,5
Názon,zplodit,Salmon,5
