cluster,word1,word2,pair_count,pmi,matched_seed
theological_cluster,hospodin,smrt,8,7.513,hospodin
theological_cluster,pán,slovo,8,7.283,pán
theological_cluster,bůh,jakž,8,7.268,bůh
theological_cluster,král,slovo,8,7.264,slovo
theological_cluster,hospodin,nebe,8,7.145,hospodin
theological_cluster,hospodin,lidu,8,7.11,hospodin
theological_cluster,hospodin,jakž,8,6.823,hospodin
theological_cluster,den,pán,8,6.802,pán
theological_cluster,duch,hospodin,8,6.182,duch
theological_cluster,ježíš,zjevení,7,10.615,ježíš
theological_cluster,ježíš,spasitele,7,10.463,ježíš
theological_cluster,měsíce,slovo,7,10.071,slovo
theological_cluster,bůh,díky,7,9.719,bůh
theological_cluster,kristus,svatým,7,9.628,kristus
theological_cluster,hospodin,páliti,7,9.467,hospodin
theological_cluster,hospodin,spokojující,7,9.467,hospodin
theological_cluster,bůh,spasitele,7,9.397,bůh
theological_cluster,pravda,slovo,7,9.034,pravda
theological_cluster,hospodin,satan,7,8.953,hospodin
theological_cluster,láska,pán,7,8.92,pán
theological_cluster,hospodin,slyšte,7,8.815,hospodin
theological_cluster,bůh,vydal,7,8.719,bůh
theological_cluster,dnes,hospodin,7,8.69,hospodin
theological_cluster,mého,pán,7,8.588,pán
theological_cluster,bůh,nade,7,8.549,bůh
theological_cluster,hospodin,jeruzalém,7,8.467,hospodin
theological_cluster,bůh,místo,7,8.397,bůh
theological_cluster,hospodin,jozue,7,8.368,hospodin
theological_cluster,bratří,pán,7,8.249,pán
theological_cluster,bůh,věky,7,7.964,bůh
theological_cluster,hospodin,tvého,7,7.953,hospodin
theological_cluster,bůh,těm,7,7.912,bůh
theological_cluster,hospodin,pravím,7,7.751,hospodin
theological_cluster,hospodin,vaší,7,7.69,hospodin
theological_cluster,hlas,hospodin,7,7.631,hospodin
theological_cluster,bůh,skutek,7,7.59,bůh
theological_cluster,duše,hospodin,7,7.574,hospodin
theological_cluster,bůh,dům,7,7.51,bůh
theological_cluster,hospodin,prostřed,7,7.467,hospodin
theological_cluster,bůh,lidu,7,7.361,bůh
theological_cluster,hospodin,muž,7,7.32,hospodin
theological_cluster,hospodin,pročež,7,7.32,hospodin
theological_cluster,aniž,bůh,7,7.26,bůh
theological_cluster,boží,pán,7,7.249,pán
theological_cluster,hospodin,mého,7,7.187,hospodin
theological_cluster,což,pán,7,7.075,pán
theological_cluster,bůh,kněz,7,7.047,bůh
theological_cluster,slovo,země,7,6.876,slovo
