book,rank,neighbour,delta
Joz,2,Sd,0.5262
Joz,3,2Kr,0.529
Joz,4,Rt,0.5437
Joz,5,Dt,0.551
Jr,1,1Pa,0.4175
Jr,2,Oz,0.4542
Jr,3,Mal,0.4603
Jr,4,Am,0.4617
Jr,5,2S,0.4664
Ju,1,1Pa,0.3597
Ju,2,Gn,0.4767
Ju,3,Am,0.477
Ju,4,2Te,0.4926
Ju,5,Neh,0.4929
Kaz,1,1Pa,0.4189
Kaz,2,Am,0.4949
Kaz,3,Mal,0.4973
Kaz,4,Oz,0.503
Kaz,5,Jr,0.507
Ko,1,1Pa,0.4549
Ko,2,Ef,0.4683
Ko,3,1P,0.4908
Ko,4,R,0.497
Ko,5,2K,0.4981
L,1,1Pa,0.4741
L,2,Sd,0.5271
L,3,Mt,0.5398
L,4,Nu,0.549
L,5,2Kr,0.5512
Lv,1,1Pa,0.3906
Lv,2,Sd,0.4779
Lv,3,Am,0.4957
Lv,4,Mt,0.5156
Lv,5,Na,0.5159
Mal,1,1Pa,0.4217
Mal,2,Am,0.4525
Mal,3,Jr,0.4603
Mal,4,2Te,0.4862
Mal,5,Jk,0.4874
Mi,1,1Pa,0.4165
Mi,2,Abd,0.4332
Mi,3,Am,0.4537
Mi,4,Na,0.4627
Mi,5,Mt,0.4768
Mk,1,1Pa,0.4987
Mk,2,J,0.5522
Mk,3,Mt,0.5562
Mk,4,Gn,0.561
Mk,5,Sk,0.5654
Mt,1,1Pa,0.3373
Mt,2,Sd,0.4347
Mt,3,Nu,0.4546
Mt,4,Am,0.4546
Mt,5,2Pa,0.4705
Na,1,1Pa,0.3905
Na,2,Am,0.4599
Na,3,Mi,0.4627
Na,4,Sf,0.4675
Na,5,Jr,0.4776
Neh,1,1Pa,0.3796
Neh,2,2S,0.4536
Neh,3,2Kr,0.4544
Neh,4,Est,0.4553
Neh,5,Sd,0.4607
Nu,1,1Pa,0.3536
Nu,2,Sd,0.4106
Nu,3,Ezd,0.4376
Nu,4,Mt,0.4546
Nu,5,Am,0.4655
Oz,1,1Pa,0.3878
Oz,2,Sd,0.4537
Oz,3,Jr,0.4542
Oz,4,Am,0.4576
Oz,5,1S,0.4633
Pis,1,1Pa,0.3933
Pis,2,Am,0.4693
Pis,3,Na,0.5117
Pis,4,Z,0.5174
Pis,5,Abd,0.5214
Pl,1,1Pa,0.4525
